Unnamed: 0,CAR,BAL,week,year,game_id
First Downs,13,19,11.0,2022,157
Rush-Yds-TDs,17-36-0,30-115-1,11.0,2022,157
Cmp-Att-Yd-TD-INT,21-33-196-0-2,24-33-209-0-1,11.0,2022,157
Sacked-Yards,4-27,3-16,11.0,2022,157
Net Pass Yards,169,193,11.0,2022,157
Total Yards,205,308,11.0,2022,157
Fumbles-Lost,2-1,0-0,11.0,2022,157
Turnovers,3,1,11.0,2022,157
Penalties-Yards,9-66,10-93,11.0,2022,157
Third Down Conv.,3-12,6-15,11.0,2022,157
Fourth Down Conv.,0-1,0-0,11.0,2022,157
Time of Possession,26:46,33:14,11.0,2022,157
