Quarter,Time,Down,ToGo,Location,LAR,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Rams to receive the opening kickoff.",,,11.0,2022,159
1.0,15:00,,,NOR 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,159
1.0,15:00,1.0,10.0,LAR 25,0.0,0.0,Darrell Henderson left tackle for 4 yards (tackle by David Onyemata and Carl Granderson),0.61,0.6,11.0,2022,159
1.0,14:23,2.0,6.0,LAR 29,0.0,0.0,Darrell Henderson right guard for 5 yards (tackle by Demario Davis),0.6,0.56,11.0,2022,159
1.0,13:43,3.0,1.0,LAR 34,0.0,0.0,Brandon Powell right end for -1 yards (tackle by Paulson Adebo),0.56,-1.18,11.0,2022,159
1.0,13:04,4.0,2.0,LAR 33,0.0,0.0,"Riley Dixon punts 56 yards, returned by Rashid Shaheed for 12 yards (tackle by Quentin Lake)",-1.18,-0.48,11.0,2022,159
1.0,12:49,1.0,10.0,NOR 23,0.0,0.0,Andy Dalton pass incomplete short left intended for Alvin Kamara,0.48,-0.07,11.0,2022,159
1.0,12:46,2.0,10.0,NOR 23,0.0,0.0,Alvin Kamara left guard for 7 yards (tackle by Bobby Wagner and Jalen Ramsey),-0.07,0.17,11.0,2022,159
1.0,12:07,3.0,3.0,NOR 30,0.0,0.0,Andy Dalton pass complete short left to Adam Trautman for 2 yards (tackle by Jalen Ramsey),0.17,-1.24,11.0,2022,159
1.0,11:08,4.0,1.0,NOR 32,0.0,0.0,"Blake Gillikin punts 53 yards, fair catch by Brandon Powell at LA-15",-1.24,0.22,11.0,2022,159
1.0,11:01,1.0,10.0,LAR 15,0.0,0.0,Matthew Stafford pass complete short right to Van Jefferson for 5 yards (tackle by Paulson Adebo and Kaden Elliss),-0.22,0.08,11.0,2022,159
1.0,10:21,2.0,5.0,LAR 20,0.0,0.0,Cam Akers right guard for 6 yards (tackle by Paulson Adebo),0.08,0.67,11.0,2022,159
