Unnamed: 0,WAS,HOU,week,year,game_id
First Downs,20,11,11.0,2022,154
Rush-Yds-TDs,40-153-1,16-21-1,11.0,2022,154
Cmp-Att-Yd-TD-INT,15-27-191-0-0,19-33-169-0-2,11.0,2022,154
Sacked-Yards,0-0,5-42,11.0,2022,154
Net Pass Yards,191,127,11.0,2022,154
Total Yards,344,148,11.0,2022,154
Fumbles-Lost,1-0,0-0,11.0,2022,154
Turnovers,0,2,11.0,2022,154
Penalties-Yards,5-36,2-15,11.0,2022,154
Third Down Conv.,3-13,2-13,11.0,2022,154
Fourth Down Conv.,2-2,4-4,11.0,2022,154
Time of Possession,34:56,25:04,11.0,2022,154
