Quarter,Time,Down,ToGo,Location,LVR,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Raiders to receive the opening kickoff.",,,11.0,2022,160
1,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 64 yards, returned by Ameer Abdullah for 25 yards (tackle by Harvey Langi)",0.0,0.67,11.0,2022,160
1,14:56,1.0,10.0,LVR 26,0.0,0.0,Josh Jacobs right guard for 3 yards (tackle by Josey Jewell and D.J. Jones),0.67,0.54,11.0,2022,160
1,14:17,2.0,7.0,LVR 29,0.0,0.0,Derek Carr pass complete short left to Jakob Johnson for no gain (tackle by Kareem Jackson),0.54,-0.16,11.0,2022,160
1,13:32,3.0,7.0,LVR 29,0.0,0.0,Derek Carr pass complete short middle to Davante Adams for 21 yards (tackle by Damarri Mathis),-0.16,2.26,11.0,2022,160
1,12:46,1.0,10.0,LVR 50,0.0,0.0,Josh Jacobs left tackle for 3 yards (tackle by Jonathan Harris),2.26,2.12,11.0,2022,160
1,12:20,2.0,7.0,DEN 47,0.0,0.0,Derek Carr pass complete short left to Davante Adams for 15 yards (tackle by Patrick Surtain),2.12,3.45,11.0,2022,160
1,11:45,1.0,10.0,DEN 32,0.0,0.0,"Josh Jacobs right end for no gain (tackle by Damarri Mathis). Penalty on Mack Hollins: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",3.45,2.79,11.0,2022,160
1,11:28,1.0,20.0,DEN 42,0.0,0.0,Derek Carr pass incomplete short middle intended for Foster Moreau (defended by D.J. Jones),2.79,1.55,11.0,2022,160
1,11:24,2.0,20.0,DEN 42,0.0,0.0,Derek Carr pass complete short right to Ameer Abdullah for no gain (tackle by Alex Singleton),1.55,0.89,11.0,2022,160
1,10:43,3.0,20.0,DEN 42,0.0,0.0,Derek Carr pass complete short left to Davante Adams for 4 yards (tackle by Essang Bassey),0.89,0.72,11.0,2022,160
1,9:58,4.0,16.0,DEN 38,0.0,0.0,"AJ Cole punts 30 yards, fair catch by Montrell Washington at DEN-8",0.72,0.38,11.0,2022,160
1,9:52,1.0,10.0,DEN 8,0.0,0.0,Russell Wilson pass complete short right to Greg Dulcich for 15 yards (tackle by Rock Ya-Sin),-0.38,0.48,11.0,2022,160
1,9:20,1.0,10.0,DEN 23,0.0,0.0,Melvin Gordon up the middle for 4 yards (tackle by Luke Masterson),0.48,0.47,11.0,2022,160
