Unnamed: 0,DET,NYG,week,year,game_id
First Downs,23,25,11.0,2022,153
Rush-Yds-TDs,37-160-4,26-89-2,11.0,2022,153
Cmp-Att-Yd-TD-INT,17-26-165-0-0,27-44-341-1-2,11.0,2022,153
Sacked-Yards,0-0,2-17,11.0,2022,153
Net Pass Yards,165,324,11.0,2022,153
Total Yards,325,413,11.0,2022,153
Fumbles-Lost,1-0,1-1,11.0,2022,153
Turnovers,0,3,11.0,2022,153
Penalties-Yards,5-45,8-63,11.0,2022,153
Third Down Conv.,6-13,5-13,11.0,2022,153
Fourth Down Conv.,0-0,2-3,11.0,2022,153
Time of Possession,31:48,28:12,11.0,2022,153
