Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,11.0,2022,163
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,163
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Isiah Pacheco left guard for 3 yards (tackle by Morgan Fox and Sebastian Joseph-Day),0.61,0.47,11.0,2022,163
1.0,14:28,2.0,7.0,KAN 28,0.0,0.0,Patrick Mahomes pass complete short left to Jody Fortson for 11 yards (tackle by Michael Davis),0.47,1.53,11.0,2022,163
1.0,13:57,1.0,10.0,KAN 39,0.0,0.0,Patrick Mahomes pass incomplete short right,1.53,0.99,11.0,2022,163
1.0,13:49,2.0,10.0,KAN 39,0.0,0.0,Isiah Pacheco left guard for 28 yards (tackle by Derwin James and Nasir Adderley),0.99,3.38,11.0,2022,163
1.0,13:15,1.0,10.0,LAC 33,0.0,0.0,Patrick Mahomes pass incomplete deep right intended for Justin Watson,3.38,2.84,11.0,2022,163
1.0,13:08,2.0,10.0,LAC 33,0.0,0.0,Patrick Mahomes pass complete short right to Noah Gray for 3 yards (tackle by Drue Tranquill and Kyle Van Noy),2.84,2.54,11.0,2022,163
1.0,12:26,3.0,7.0,LAC 30,0.0,0.0,Patrick Mahomes pass complete short right to Skyy Moore for 9 yards (tackle by Derwin James),2.54,4.17,11.0,2022,163
1.0,11:47,1.0,10.0,LAC 21,0.0,0.0,Clyde Edwards-Helaire up the middle for 6 yards (tackle by Michael Davis and Nasir Adderley),4.17,4.55,11.0,2022,163
1.0,11:07,2.0,4.0,LAC 15,0.0,0.0,Patrick Mahomes pass incomplete intended for Travis Kelce,4.55,3.81,11.0,2022,163
1.0,11:01,3.0,4.0,LAC 15,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,3.81,2.52,11.0,2022,163
1.0,10:58,4.0,4.0,LAC 15,3.0,0.0,Harrison Butker 33 yard field goal good,2.52,3.0,11.0,2022,163
1.0,10:54,,,KAN 35,3.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,163
1.0,10:54,1.0,10.0,LAC 25,3.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 17 yards (tackle by Justin Reid),0.61,1.73,11.0,2022,163
1.0,10:18,1.0,10.0,LAC 42,3.0,0.0,Justin Herbert pass complete short left to DeAndre Carter for 8 yards (tackle by Trent McDuffie and Juan Thornhill),1.73,2.27,11.0,2022,163
1.0,9:42,2.0,2.0,LAC 50,3.0,6.0,"Justin Herbert pass complete deep left to Josh Palmer for 50 yards, touchdown",2.27,7.0,11.0,2022,163
