Unnamed: 0,KAN,LAC,week,year,game_id
First Downs,23,22,11.0,2022,163
Rush-Yds-TDs,27-163-0,30-115-1,11.0,2022,163
Cmp-Att-Yd-TD-INT,20-34-329-3-0,23-30-280-2-1,11.0,2022,163
Sacked-Yards,1-7,5-30,11.0,2022,163
Net Pass Yards,322,250,11.0,2022,163
Total Yards,485,365,11.0,2022,163
Fumbles-Lost,2-1,1-1,11.0,2022,163
Turnovers,1,2,11.0,2022,163
Penalties-Yards,4-54,4-25,11.0,2022,163
Third Down Conv.,5-10,8-14,11.0,2022,163
Fourth Down Conv.,0-0,0-0,11.0,2022,163
Time of Possession,27:41,32:19,11.0,2022,163
