Unnamed: 0,CHI,ATL,week,year,game_id
First Downs,20,18,11.0,2022,156
Rush-Yds-TDs,41-160-2,33-149-1,11.0,2022,156
Cmp-Att-Yd-TD-INT,14-21-153-1-1,13-20-131-1-0,11.0,2022,156
Sacked-Yards,4-25,0-0,11.0,2022,156
Net Pass Yards,128,131,11.0,2022,156
Total Yards,288,280,11.0,2022,156
Fumbles-Lost,2-0,2-2,11.0,2022,156
Turnovers,1,2,11.0,2022,156
Penalties-Yards,7-56,2-13,11.0,2022,156
Third Down Conv.,9-16,2-9,11.0,2022,156
Fourth Down Conv.,0-0,1-1,11.0,2022,156
Time of Possession,35:10,24:50,11.0,2022,156
