Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Joe Burrow,CIN,24,39,355,4,2,2,9,33,104.1,11.0,2022,161
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,11.0,2022,161
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,11.0,2022,161
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,11.0,2022,161
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,11.0,2022,161
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,11.0,2022,161
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,11.0,2022,161
Hayden Hurst,CIN,0,0,0,0,0,0,0,0,,11.0,2022,161
Trent Taylor,CIN,0,0,0,0,0,0,0,0,,11.0,2022,161
Mike Thomas,CIN,0,0,0,0,0,0,0,0,,11.0,2022,161
Kenny Pickett,PIT,25,42,265,1,0,2,16,33,85.9,11.0,2022,161
Najee Harris,PIT,0,0,0,0,0,0,0,0,,11.0,2022,161
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,11.0,2022,161
George Pickens,PIT,0,0,0,0,0,0,0,0,,11.0,2022,161
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,11.0,2022,161
Gunner Olszewski,PIT,0,0,0,0,0,0,0,0,,11.0,2022,161
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,11.0,2022,161
Zach Gentry,PIT,0,0,0,0,0,0,0,0,,11.0,2022,161
Steven Sims,PIT,0,0,0,0,0,0,0,0,,11.0,2022,161
