Quarter,Time,Tm,Detail,SFO,ARI,week,year,game_id
1.0,8:00,Cardinals,Matt Prater 40 yard field goal,0,3,11.0,2022,164
2.0,13:35,49ers,Brandon Aiyuk 7 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,3,11.0,2022,164
,8:42,49ers,George Kittle 39 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,3,11.0,2022,164
,4:19,Cardinals,James Conner 2 yard rush (Matt Prater kick),14,10,11.0,2022,164
,0:43,49ers,Robbie Gould 39 yard field goal,17,10,11.0,2022,164
3.0,10:34,49ers,Deebo Samuel 39 yard rush (Robbie Gould kick),24,10,11.0,2022,164
,0:28,49ers,Brandon Aiyuk 13 yard pass from Jimmy Garoppolo (Robbie Gould kick),31,10,11.0,2022,164
4.0,10:08,49ers,George Kittle 32 yard pass from Jimmy Garoppolo (Robbie Gould kick),38,10,11.0,2022,164
