Unnamed: 0,PHI,IND,week,year,game_id
First Downs,18,14,11.0,2022,158
Rush-Yds-TDs,33-141-1,26-99-1,11.0,2022,158
Cmp-Att-Yd-TD-INT,18-25-190-1-0,23-32-213-0-0,11.0,2022,158
Sacked-Yards,3-17,4-28,11.0,2022,158
Net Pass Yards,173,185,11.0,2022,158
Total Yards,314,284,11.0,2022,158
Fumbles-Lost,4-2,2-1,11.0,2022,158
Turnovers,2,1,11.0,2022,158
Penalties-Yards,7-55,8-90,11.0,2022,158
Third Down Conv.,5-12,5-15,11.0,2022,158
Fourth Down Conv.,1-2,0-1,11.0,2022,158
Time of Possession,29:22,30:38,11.0,2022,158
