Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,11.0,2022,164
1.0,15:00,,,SFO 35,0.0,0.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,164
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,Rondale Moore right end for -6 yards (tackle by Deommodore Lenoir),0.61,-0.81,11.0,2022,164
1.0,14:25,2.0,16.0,ARI 19,0.0,0.0,Colt McCoy pass complete short left to DeAndre Hopkins for 6 yards (tackle by Talanoa Hufanga),-0.81,-0.62,11.0,2022,164
1.0,13:47,3.0,10.0,ARI 25,0.0,0.0,Colt McCoy pass incomplete short right intended for James Conner,-0.62,-1.7,11.0,2022,164
1.0,13:42,4.0,10.0,ARI 25,0.0,0.0,"Andy Lee punts 45 yards, returned by Ray-Ray McCloud for 7 yards (tackle by Kamu Grugier-Hill)",-1.7,-1.4,11.0,2022,164
1.0,13:32,1.0,10.0,SFO 37,0.0,0.0,Christian McCaffrey right tackle for 2 yards (tackle by J.J. Watt),1.4,1.13,11.0,2022,164
1.0,13:02,2.0,8.0,SFO 39,0.0,0.0,Jimmy Garoppolo pass incomplete short right intended for George Kittle (defended by Budda Baker),1.13,0.43,11.0,2022,164
1.0,12:56,3.0,8.0,SFO 39,0.0,0.0,Jimmy Garoppolo pass incomplete deep left intended for Jauan Jennings,0.43,-0.78,11.0,2022,164
1.0,12:42,4.0,8.0,SFO 39,0.0,0.0,"Mitch Wishnowsky punts 61 yards, touchback.",-0.78,-0.28,11.0,2022,164
1.0,12:38,1.0,10.0,ARI 20,0.0,0.0,James Conner right tackle for -1 yards (tackle by Kevin Givens),0.28,-0.46,11.0,2022,164
1.0,12:06,2.0,11.0,ARI 19,0.0,0.0,Colt McCoy pass complete short right to Trey McBride for 6 yards (tackle by Talanoa Hufanga),-0.46,-0.3,11.0,2022,164
1.0,11:27,3.0,5.0,ARI 25,0.0,0.0,Colt McCoy pass complete short left to DeAndre Hopkins for 17 yards (tackle by Charvarius Ward),-0.3,1.73,11.0,2022,164
1.0,10:53,1.0,10.0,ARI 42,0.0,0.0,James Conner up the middle for 2 yards (tackle by Nick Bosa),1.73,1.46,11.0,2022,164
1.0,10:23,2.0,8.0,ARI 44,0.0,0.0,Colt McCoy pass complete deep left to DeAndre Hopkins for 17 yards (tackle by Charvarius Ward),1.46,2.98,11.0,2022,164
1.0,9:50,1.0,10.0,SFO 39,0.0,0.0,James Conner left end for 8 yards (tackle by Dre Greenlaw),2.98,3.52,11.0,2022,164
1.0,9:17,2.0,2.0,SFO 31,0.0,0.0,James Conner up the middle for 5 yards (tackle by Dre Greenlaw),3.52,3.84,11.0,2022,164
1.0,8:49,1.0,10.0,SFO 26,0.0,0.0,Keaontay Ingram up the middle for 4 yards (tackle by T.Y. McGill),3.84,3.84,11.0,2022,164
1.0,8:14,2.0,6.0,SFO 22,0.0,0.0,Colt McCoy pass incomplete deep left intended for Stephen Anderson,3.84,3.14,11.0,2022,164
1.0,8:07,3.0,6.0,SFO 22,0.0,0.0,Colt McCoy pass incomplete deep left intended for DeAndre Hopkins,3.14,2.02,11.0,2022,164
1.0,8:03,4.0,6.0,SFO 22,0.0,3.0,Matt Prater 40 yard field goal good,2.02,3.0,11.0,2022,164
1.0,8:00,,,ARI 35,0.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,164
1.0,8:00,1.0,10.0,SFO 25,0.0,3.0,Jimmy Garoppolo pass complete short middle to Christian McCaffrey for 11 yards (tackle by Budda Baker),0.61,1.33,11.0,2022,164
1.0,7:27,1.0,10.0,SFO 36,0.0,3.0,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 5 yards (tackle by Zaven Collins and Zach Allen),1.33,1.47,11.0,2022,164
1.0,6:54,2.0,5.0,SFO 41,0.0,3.0,Christian McCaffrey up the middle for 3 yards (tackle by Ben Niemann and Zach Allen),1.47,1.16,11.0,2022,164
1.0,6:14,3.0,2.0,SFO 44,0.0,3.0,"Deebo Samuel right end for -2 yards (tackle by Isaiah Simmons and Zaven Collins). Penalty on George Kittle: Offensive Holding, 10 yards (declined)",1.16,-0.59,11.0,2022,164
1.0,5:58,4.0,4.0,SFO 42,0.0,3.0,Mitch Wishnowsky punts 54 yards,-0.59,0.38,11.0,2022,164
1.0,5:47,1.0,10.0,ARI 4,0.0,3.0,James Conner up the middle for 1 yard (tackle by Charvarius Ward and Hassan Ridgeway),-0.38,-0.71,11.0,2022,164
1.0,5:17,2.0,9.0,ARI 5,0.0,3.0,Colt McCoy pass complete short right to Greg Dortch for 8 yards (tackle by Deommodore Lenoir),-0.71,-0.37,11.0,2022,164
1.0,4:43,3.0,1.0,ARI 13,0.0,3.0,James Conner up the middle for 3 yards (tackle by Dre Greenlaw),-0.37,-0.14,11.0,2022,164
1.0,4:14,1.0,10.0,ARI 16,0.0,3.0,Colt McCoy pass complete short left to Trey McBride for 2 yards (tackle by Charvarius Ward),-0.14,-0.35,11.0,2022,164
1.0,3:39,2.0,8.0,ARI 18,0.0,3.0,Colt McCoy pass complete short middle to A.J. Green for 5 yards (tackle by Fred Warner),-0.35,-0.45,11.0,2022,164
1.0,2:53,3.0,3.0,ARI 23,0.0,3.0,Colt McCoy pass incomplete short right intended for James Conner (defended by Drake Jackson),-0.45,-1.83,11.0,2022,164
1.0,2:49,4.0,3.0,ARI 23,0.0,3.0,"Andy Lee punts 59 yards, fair catch by Ray-Ray McCloud at SF-18",-1.83,-0.04,11.0,2022,164
1.0,2:41,1.0,10.0,SFO 18,0.0,3.0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 4 yards (tackle by Budda Baker and Zaven Collins),0.04,0.14,11.0,2022,164
1.0,1:59,2.0,6.0,SFO 22,0.0,3.0,Christian McCaffrey left end for 1 yard (tackle by Jalen Thompson),0.14,-0.53,11.0,2022,164
1.0,1:18,3.0,5.0,SFO 23,0.0,3.0,Jimmy Garoppolo pass complete short left to George Kittle for 6 yards (tackle by Budda Baker),-0.53,0.87,11.0,2022,164
1.0,0:40,1.0,10.0,SFO 29,0.0,3.0,"Christian McCaffrey right end for 5 yards (tackle by Zaven Collins and Jonathan Ledbetter). Penalty on Jonathan Ledbetter: Face Mask (15 Yards), 15 yards (accepted)",0.87,2.19,11.0,2022,164
