Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Samaje Perine,CIN,11,30,0,2.0,15,1.4,15,1.4,0,,11.0,2022,161
Joe Mixon,CIN,7,20,0,1.0,7,1.0,13,1.9,0,,11.0,2022,161
Joe Burrow,CIN,4,5,0,0.0,3,0.8,2,0.5,0,,11.0,2022,161
Trayveon Williams,CIN,2,7,0,,3,1.5,4,2.0,0,,11.0,2022,161
Najee Harris,PIT,20,90,2,3.0,39,2.0,51,2.6,1,20.0,11.0,2022,161
Kenny Pickett,PIT,2,14,0,1.0,14,7.0,0,0.0,0,,11.0,2022,161
Diontae Johnson,PIT,1,1,0,1.0,0,0.0,1,1.0,0,,11.0,2022,161
Steven Sims,PIT,1,-3,0,,-3,-3.0,0,0.0,0,,11.0,2022,161
