Unnamed: 0,TEN,GNB,week,year,game_id
First Downs,21,15,11.0,2022,151
Rush-Yds-TDs,32-88-1,19-56-0,11.0,2022,151
Cmp-Att-Yd-TD-INT,24-29-337-3-1,24-39-227-2-0,11.0,2022,151
Sacked-Yards,3-17,1-12,11.0,2022,151
Net Pass Yards,320,215,11.0,2022,151
Total Yards,408,271,11.0,2022,151
Fumbles-Lost,0-0,1-0,11.0,2022,151
Turnovers,1,0,11.0,2022,151
Penalties-Yards,2-19,5-40,11.0,2022,151
Third Down Conv.,7-13,7-14,11.0,2022,151
Fourth Down Conv.,1-2,0-2,11.0,2022,151
Time of Possession,32:28,27:32,11.0,2022,151
