Unnamed: 0,CIN,PIT,week,year,game_id
First Downs,22,17,11.0,2022,161
Rush-Yds-TDs,24-62-0,24-102-2,11.0,2022,161
Cmp-Att-Yd-TD-INT,24-39-355-4-2,25-42-265-1-0,11.0,2022,161
Sacked-Yards,2-9,2-16,11.0,2022,161
Net Pass Yards,346,249,11.0,2022,161
Total Yards,408,351,11.0,2022,161
Fumbles-Lost,0-0,1-0,11.0,2022,161
Turnovers,2,0,11.0,2022,161
Penalties-Yards,6-44,8-70,11.0,2022,161
Third Down Conv.,3-9,8-17,11.0,2022,161
Fourth Down Conv.,0-0,0-1,11.0,2022,161
Time of Possession,31:36,28:24,11.0,2022,161
