#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,NWE 25,3,1:53,4,Punt,1,Patriots,11.0,2022,155
2,1,11:40,NWE 26,3,1:29,3,Punt,1,Patriots,11.0,2022,155
3,1,7:43,NWE 20,14,7:46,74,Field Goal,1,Patriots,11.0,2022,155
4,2,9:38,NWE 30,11,6:49,44,Missed FG,1,Patriots,11.0,2022,155
5,2,0:45,NWE 14,3,0:26,6,Punt,1,Patriots,11.0,2022,155
6,3,13:05,NWE 28,7,3:57,47,Missed FG,1,Patriots,11.0,2022,155
7,3,7:32,NWE 15,5,3:22,34,Punt,1,Patriots,11.0,2022,155
8,3,2:46,NWE 44,5,2:40,20,Downs,1,Patriots,11.0,2022,155
9,4,14:09,NWE 28,5,3:17,15,Punt,1,Patriots,11.0,2022,155
10,4,9:01,NWE 45,3,2:21,3,Punt,1,Patriots,11.0,2022,155
11,4,3:22,NWE 34,3,1:30,7,Punt,1,Patriots,11.0,2022,155
