Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Patrick Mahomes,KAN,4,23,0,16,11.0,2022,163
Isiah Pacheco,KAN,15,107,0,28,11.0,2022,163
Jerick McKinnon,KAN,6,24,0,7,11.0,2022,163
Clyde Edwards-Helaire,KAN,2,9,0,6,11.0,2022,163
Travis Kelce,KAN,0,0,0,0,11.0,2022,163
Justin Watson,KAN,0,0,0,0,11.0,2022,163
Skyy Moore,KAN,0,0,0,0,11.0,2022,163
Jody Fortson,KAN,0,0,0,0,11.0,2022,163
Marquez Valdes-Scantling,KAN,0,0,0,0,11.0,2022,163
Noah Gray,KAN,0,0,0,0,11.0,2022,163
Kadarius Toney,KAN,0,0,0,0,11.0,2022,163
Justin Herbert,LAC,5,17,0,7,11.0,2022,163
Austin Ekeler,LAC,19,83,1,9,11.0,2022,163
Isaiah Spiller,LAC,4,11,0,11,11.0,2022,163
Zander Horvath,LAC,1,3,0,3,11.0,2022,163
Sony Michel,LAC,1,1,0,1,11.0,2022,163
Josh Palmer,LAC,0,0,0,0,11.0,2022,163
Keenan Allen,LAC,0,0,0,0,11.0,2022,163
DeAndre Carter,LAC,0,0,0,0,11.0,2022,163
Mike Williams,LAC,0,0,0,0,11.0,2022,163
Stone Smartt,LAC,0,0,0,0,11.0,2022,163
Michael Bandy,LAC,0,0,0,0,11.0,2022,163
