Unnamed: 0,LAR,NOR,week,year,game_id
First Downs,17,19,11.0,2022,159
Rush-Yds-TDs,30-148-0,24-88-0,11.0,2022,159
Cmp-Att-Yd-TD-INT,16-28-223-2-0,22-28-274-3-0,11.0,2022,159
Sacked-Yards,4-35,4-39,11.0,2022,159
Net Pass Yards,188,235,11.0,2022,159
Total Yards,336,323,11.0,2022,159
Fumbles-Lost,0-0,0-0,11.0,2022,159
Turnovers,0,0,11.0,2022,159
Penalties-Yards,6-55,2-15,11.0,2022,159
Third Down Conv.,5-14,4-11,11.0,2022,159
Fourth Down Conv.,1-2,0-0,11.0,2022,159
Time of Possession,28:53,31:07,11.0,2022,159
