Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Patriots to receive the opening kickoff.",,,11.0,2022,155
1.0,15:00,,,NYJ 35,0.0,0.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,155
1.0,15:00,1.0,10.0,NWE 25,0.0,0.0,Mac Jones sacked by and Quincy Williams for -7 yards and John Franklin-Myers for -7 yards,0.61,-0.98,11.0,2022,155
1.0,14:25,2.0,17.0,NWE 18,0.0,0.0,Damien Harris left guard for 4 yards (tackle by Carl Lawson),-0.98,-1.02,11.0,2022,155
1.0,13:45,3.0,13.0,NWE 22,0.0,0.0,Mac Jones pass complete short middle to Nelson Agholor for 7 yards (tackle by C.J. Mosley),-1.02,-1.44,11.0,2022,155
1.0,13:14,4.0,6.0,NWE 29,0.0,0.0,"Michael Palardy punts 46 yards, fair catch by Braxton Berrios at NYJ-25",-1.44,-0.61,11.0,2022,155
1.0,13:07,1.0,10.0,NYJ 25,0.0,0.0,Zach Wilson scrambles right end for 6 yards (tackle by Matt Judon),0.61,0.87,11.0,2022,155
1.0,12:32,2.0,4.0,NYJ 31,0.0,0.0,Michael Carter left guard for no gain (tackle by Ja'Whaun Bentley and Matt Judon),0.87,0.17,11.0,2022,155
1.0,11:51,3.0,4.0,NYJ 31,0.0,0.0,Zach Wilson pass incomplete short left,0.17,-1.31,11.0,2022,155
1.0,11:48,4.0,4.0,NYJ 31,0.0,0.0,"Braden Mann punts 43 yards, fair catch by Marcus Jones at NE-26",-1.31,-0.67,11.0,2022,155
1.0,11:40,1.0,10.0,NWE 26,0.0,0.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Michael Carter),0.67,0.27,11.0,2022,155
1.0,11:05,2.0,9.0,NWE 27,0.0,0.0,Mac Jones pass complete short left to Jonnu Smith for 7 yards (tackle by D.J. Reed),0.27,0.5,11.0,2022,155
1.0,10:25,3.0,2.0,NWE 34,0.0,0.0,Mac Jones pass incomplete short left intended for Tyquan Thornton (defended by Sauce Gardner),0.5,-1.11,11.0,2022,155
1.0,10:19,4.0,2.0,NWE 34,0.0,0.0,"Penalty on Joe Cardona: False Start, 5 yards (accepted) (no play)",-1.11,-1.44,11.0,2022,155
1.0,10:19,4.0,7.0,NWE 29,0.0,0.0,"Michael Palardy punts 48 yards, fair catch by Braxton Berrios at NYJ-23",-1.44,-0.48,11.0,2022,155
1.0,10:11,1.0,10.0,NYJ 23,0.0,0.0,James Robinson right tackle for 1 yard (tackle by Matt Judon),0.48,0.07,11.0,2022,155
1.0,9:31,2.0,9.0,NYJ 24,0.0,0.0,"Penalty on Cedric Ogbuehi: False Start, 5 yards (accepted) (no play)",0.07,-0.67,11.0,2022,155
1.0,9:04,2.0,14.0,NYJ 19,0.0,0.0,"Zach Wilson scrambles left end for 13 yards (tackle by Ja'Whaun Bentley) NYJ challenged the first down ruling, and the original play was overturned. Zach Wilson scrambles left end for 14 yards (tackle by Ja'Whaun Bentley)",-0.67,1.14,11.0,2022,155
1.0,8:54,1.0,10.0,NYJ 33,0.0,0.0,Zach Wilson pass incomplete short middle intended for Denzel Mims,1.14,0.59,11.0,2022,155
1.0,8:50,2.0,10.0,NYJ 33,0.0,0.0,Michael Carter left guard for 3 yards (tackle by Davon Godchaux and Ja'Whaun Bentley),0.59,0.3,11.0,2022,155
1.0,8:13,3.0,7.0,NYJ 36,0.0,0.0,Zach Wilson pass incomplete short right intended for Elijah Moore,0.3,-0.98,11.0,2022,155
1.0,7:58,4.0,7.0,NYJ 36,0.0,0.0,"Braden Mann punts 47 yards, returned by Marcus Jones for 2 yards (tackle by Jamien Sherwood). Penalty on Jamien Sherwood: Ineligible Downfield Kick, 5 yards (accepted) (no play)",-0.98,-1.31,11.0,2022,155
1.0,7:58,4.0,12.0,NYJ 31,0.0,0.0,"Braden Mann punts out of bounds. Penalty on Raekwon McMillan: Running Into the Kicker, 5 yards (accepted) (no play)",-1.31,-0.98,11.0,2022,155
1.0,7:52,4.0,7.0,NYJ 36,0.0,0.0,Braden Mann punts 44 yards downed by Braxton Berrios,-0.98,-0.28,11.0,2022,155
1.0,7:43,1.0,10.0,NWE 20,0.0,0.0,Damien Harris right guard for 5 yards (tackle by C.J. Mosley and Lamarcus Joyner),0.28,0.41,11.0,2022,155
1.0,6:51,2.0,5.0,NWE 25,0.0,0.0,Damien Harris up the middle for 22 yards (tackle by Lamarcus Joyner and Quincy Williams),0.41,2.06,11.0,2022,155
1.0,6:30,1.0,10.0,NWE 47,0.0,0.0,Damien Harris left guard for 2 yards (tackle by Micheal Clemons),2.06,1.79,11.0,2022,155
1.0,5:56,2.0,8.0,NWE 49,0.0,0.0,Mac Jones pass complete short right to Jakobi Meyers for 11 yards (tackle by Kwon Alexander),1.79,2.92,11.0,2022,155
1.0,5:21,1.0,10.0,NYJ 40,0.0,0.0,Damien Harris up the middle for -1 yards (tackle by Jordan Whitehead),2.92,2.24,11.0,2022,155
1.0,4:41,2.0,11.0,NYJ 41,0.0,0.0,Mac Jones pass complete short left to DeVante Parker for 10 yards (tackle by D.J. Reed),2.24,2.87,11.0,2022,155
1.0,4:12,3.0,1.0,NYJ 31,0.0,0.0,Mac Jones up the middle for 2 yards (tackle by Micheal Clemons),2.87,3.64,11.0,2022,155
1.0,3:32,1.0,10.0,NYJ 29,0.0,0.0,Rhamondre Stevenson left guard for 2 yards (tackle by Quinnen Williams),3.64,3.37,11.0,2022,155
1.0,2:58,2.0,8.0,NYJ 27,0.0,0.0,Mac Jones pass complete short left to Rhamondre Stevenson for 7 yards (tackle by C.J. Mosley and Lamarcus Joyner),3.37,3.6,11.0,2022,155
