Unnamed: 0,CLE,BUF,week,year,game_id
First Downs,27,22,11.0,2022,152
Rush-Yds-TDs,26-80-0,33-171-1,11.0,2022,152
Cmp-Att-Yd-TD-INT,28-41-324-3-0,18-27-197-1-0,11.0,2022,152
Sacked-Yards,1-8,2-11,11.0,2022,152
Net Pass Yards,316,186,11.0,2022,152
Total Yards,396,357,11.0,2022,152
Fumbles-Lost,1-1,0-0,11.0,2022,152
Turnovers,1,0,11.0,2022,152
Penalties-Yards,6-42,8-89,11.0,2022,152
Third Down Conv.,4-11,3-11,11.0,2022,152
Fourth Down Conv.,1-2,0-0,11.0,2022,152
Time of Possession,31:22,28:38,11.0,2022,152
