Quarter,Time,Tm,Detail,NYJ,NWE,week,year,game_id
2.0,14:57,Patriots,Nick Folk 24 yard field goal,0,3,11.0,2022,155
,9:38,Jets,Greg Zuerlein 45 yard field goal,3,3,11.0,2022,155
4.0,0:05,Patriots,Marcus Jones 84 yard punt return (Nick Folk kick),3,10,11.0,2022,155
