Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,,11.0,2022,162
1.0,15:00,,,DAL 35,0.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,162
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,Dalvin Cook up the middle for 4 yards (tackle by Micah Parsons),0.61,0.6,11.0,2022,162
1.0,14:34,2.0,6.0,MIN 29,0.0,0.0,Dalvin Cook left guard for 3 yards (tackle by Osa Odighizuwa),0.6,0.3,11.0,2022,162
1.0,13:52,3.0,3.0,MIN 32,0.0,0.0,"Kirk Cousins sacked by Micah Parsons for -5 yards. Kirk Cousins fumbles (forced by Micah Parsons), recovered by Dorance Armstrong at MIN-27",0.3,-3.78,11.0,2022,162
1.0,13:44,1.0,10.0,MIN 27,0.0,0.0,Ezekiel Elliott left guard for 4 yards (tackle by Jordan Hicks),3.78,3.77,11.0,2022,162
1.0,13:05,2.0,6.0,MIN 23,0.0,0.0,Dak Prescott pass complete short middle to Ezekiel Elliott for 5 yards (tackle by Eric Kendricks),3.77,3.84,11.0,2022,162
1.0,12:24,3.0,1.0,MIN 18,0.0,0.0,Ezekiel Elliott up the middle for 2 yards (tackle by Jonathan Bullard),3.84,4.51,11.0,2022,162
1.0,11:48,1.0,10.0,MIN 16,0.0,0.0,Ezekiel Elliott right tackle for 7 yards (tackle by Camryn Bynum),4.51,5.16,11.0,2022,162
1.0,11:12,2.0,3.0,MIN 9,0.0,0.0,Dak Prescott pass complete short middle to Tony Pollard for no gain (tackle by Harrison Phillips),5.16,4.39,11.0,2022,162
1.0,10:29,3.0,3.0,MIN 9,0.0,0.0,Dak Prescott pass incomplete short left intended for Dalton Schultz,4.39,2.99,11.0,2022,162
1.0,10:25,4.0,2.0,MIN 8,3.0,0.0,Brett Maher 27 yard field goal good,2.99,3.0,11.0,2022,162
1.0,10:22,,,DAL 35,3.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,162
1.0,10:22,1.0,10.0,MIN 25,3.0,0.0,"Kirk Cousins pass incomplete short middle intended for T.J. Hockenson. Penalty on Kelvin Joseph: Defensive Pass Interference, 9 yards (accepted) (no play)",0.61,1.2,11.0,2022,162
1.0,10:18,1.0,10.0,MIN 34,3.0,0.0,Dalvin Cook right end for 2 yards (tackle by Kelvin Joseph),1.2,0.93,11.0,2022,162
1.0,9:44,2.0,8.0,MIN 36,3.0,0.0,Kirk Cousins pass complete short middle to Justin Jefferson for 14 yards (tackle by Leighton Vander Esch),0.93,2.26,11.0,2022,162
