Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Zach Wilson,NYJ,3,26,0,14,11.0,2022,155
Michael Carter,NYJ,8,19,0,8,11.0,2022,155
James Robinson,NYJ,7,10,0,5,11.0,2022,155
Ty Johnson,NYJ,4,4,0,7,11.0,2022,155
Denzel Mims,NYJ,0,0,0,0,11.0,2022,155
Elijah Moore,NYJ,0,0,0,0,11.0,2022,155
Tyler Conklin,NYJ,0,0,0,0,11.0,2022,155
Garrett Wilson,NYJ,1,0,0,0,11.0,2022,155
Braxton Berrios,NYJ,0,0,0,0,11.0,2022,155
Mac Jones,NWE,2,3,0,2,11.0,2022,155
Damien Harris,NWE,8,65,0,30,11.0,2022,155
Rhamondre Stevenson,NWE,15,26,0,5,11.0,2022,155
Jonnu Smith,NWE,1,5,0,5,11.0,2022,155
Jakobi Meyers,NWE,0,0,0,0,11.0,2022,155
Hunter Henry,NWE,0,0,0,0,11.0,2022,155
DeVante Parker,NWE,0,0,0,0,11.0,2022,155
Nelson Agholor,NWE,0,0,0,0,11.0,2022,155
Kendrick Bourne,NWE,0,0,0,0,11.0,2022,155
Tyquan Thornton,NWE,0,0,0,0,11.0,2022,155
