Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bengals,7.0,9.45,13.77,-3.46,-8.42,-3.17,-1.64,-2.54,0.0,2.27,-7.51,6.75,2.23,-3.48,4.28,11.0,2022,161
Steelers,-7.0,3.17,1.64,2.54,0.0,-9.45,-13.77,3.46,8.42,-2.27,-6.75,7.51,3.48,-2.23,-4.28,11.0,2022,161
