Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Falcons to receive the opening kickoff.",,,11.0,2022,156
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,156
1.0,15:00,1.0,10.0,ATL 25,0.0,0.0,Marcus Mariota pass incomplete short right intended for Kyle Pitts (defended by Eddie Jackson),0.61,0.06,11.0,2022,156
1.0,14:56,2.0,10.0,ATL 25,0.0,0.0,Marcus Mariota pass complete short right to Olamide Zaccheaus for 9 yards (tackle by Jack Sanborn),0.06,0.56,11.0,2022,156
1.0,14:31,3.0,1.0,ATL 34,0.0,0.0,"Penalty on Justin Jones: Neutral Zone Infraction, 6 yards (accepted) (no play)",0.56,1.6,11.0,2022,156
1.0,14:12,1.0,10.0,ATL 40,0.0,0.0,Cordarrelle Patterson right end for 3 yards (tackle by Jaquan Brisker and Justin Jones),1.6,1.46,11.0,2022,156
1.0,13:41,2.0,7.0,ATL 43,0.0,0.0,Marcus Mariota pass complete short middle to Kyle Pitts for 16 yards (tackle by Kyler Gordon),1.46,2.85,11.0,2022,156
1.0,13:01,1.0,10.0,CHI 41,0.0,0.0,Tyler Allgeier right end for 13 yards (tackle by Jaquan Brisker),2.85,3.71,11.0,2022,156
1.0,12:26,1.0,10.0,CHI 28,0.0,0.0,Marcus Mariota scrambles left guard for 1 yard (tackle by Jaquan Brisker),3.71,3.3,11.0,2022,156
1.0,11:57,2.0,9.0,CHI 27,0.0,0.0,Marcus Mariota pass complete short left to KhaDarel Hodge for 13 yards (tackle by Jaylon Johnson),3.3,4.65,11.0,2022,156
1.0,11:13,1.0,10.0,CHI 14,0.0,0.0,Cordarrelle Patterson right guard for 7 yards (tackle by Eddie Jackson),4.65,5.28,11.0,2022,156
1.0,10:27,2.0,3.0,CHI 7,0.0,0.0,Marcus Mariota right end for 5 yards (tackle by Nicholas Morrow and Eddie Jackson),5.28,6.74,11.0,2022,156
1.0,9:46,1.0,2.0,CHI 2,0.0,6.0,"Marcus Mariota pass complete short left to Drake London for 2 yards, touchdown. Penalty on Jaquan Brisker: Defensive Holding, 1 yard (declined)",6.74,7.0,11.0,2022,156
1.0,9:37,,,CHI 15,0.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,11.0,2022,156
1.0,9:37,,,ATL 35,0.0,7.0,"Bradley Pinion kicks off 64 yards, returned by Velus Jones for 55 yards (tackle by Erik Harris)",0.0,2.65,11.0,2022,156
1.0,9:27,1.0,10.0,ATL 44,0.0,7.0,Justin Fields pass complete short left to David Montgomery for 9 yards (tackle by Darren Hall and Lorenzo Carter),2.65,3.33,11.0,2022,156
1.0,8:46,2.0,1.0,ATL 35,0.0,7.0,David Montgomery right tackle for 4 yards (tackle by Abdullah Anderson and Richie Grant),3.33,3.51,11.0,2022,156
1.0,8:11,1.0,10.0,ATL 31,0.0,7.0,David Montgomery left end for 4 yards (tackle by Jaylinn Hawkins and Mykal Walker),3.51,3.51,11.0,2022,156
1.0,7:38,2.0,6.0,ATL 27,0.0,7.0,Justin Fields right end for 9 yards (tackle by Darren Hall),3.51,4.37,11.0,2022,156
1.0,6:59,1.0,10.0,ATL 18,0.0,7.0,"Sam Mustipher aborted snap, recovered by Justin Fields at ATL-23 and returned for 5 yards Justin Fields pass incomplete short middle intended for Chase Claypool (defended by Mykal Walker) (defended by Grady Jarrett)",4.37,3.8,11.0,2022,156
1.0,6:52,2.0,10.0,ATL 18,0.0,7.0,David Montgomery left tackle for 2 yards (tackle by Rashaan Evans and Mykal Walker),3.8,3.3,11.0,2022,156
1.0,6:08,3.0,8.0,ATL 16,6.0,7.0,"Justin Fields pass complete deep left to Darnell Mooney for 16 yards, touchdown",3.3,7.0,11.0,2022,156
1.0,6:02,,,ATL 15,7.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,11.0,2022,156
1.0,6:02,,,CHI 35,7.0,7.0,"Cairo Santos kicks off 66 yards, returned by Cordarrelle Patterson for 20 yards (tackle by Matthew Adams)",0.0,0.15,11.0,2022,156
1.0,5:57,1.0,10.0,ATL 19,7.0,7.0,Marcus Mariota left tackle for no gain (tackle by Justin Jones),0.15,-0.39,11.0,2022,156
1.0,5:18,2.0,10.0,ATL 19,7.0,7.0,Marcus Mariota pass complete short right to Cordarrelle Patterson for 9 yards (tackle by Kyler Gordon and Jack Sanborn),-0.39,0.1,11.0,2022,156
1.0,4:51,3.0,1.0,ATL 28,7.0,7.0,Marcus Mariota left guard for 3 yards (tackle by Jack Sanborn),0.1,1.0,11.0,2022,156
1.0,4:15,1.0,10.0,ATL 31,7.0,7.0,Caleb Huntley right end for 4 yards (tackle by Jack Sanborn),1.0,1.0,11.0,2022,156
1.0,3:39,2.0,6.0,ATL 35,7.0,7.0,Marcus Mariota pass complete short right to Caleb Huntley for 2 yards (tackle by Jaquan Brisker),1.0,0.56,11.0,2022,156
1.0,3:12,3.0,4.0,ATL 37,7.0,7.0,Marcus Mariota pass incomplete short right intended for Drake London,0.56,-0.91,11.0,2022,156
1.0,3:07,4.0,4.0,ATL 37,7.0,7.0,"Bradley Pinion punts 47 yards, fair catch by Dante Pettis at CHI-16",-0.91,0.14,11.0,2022,156
1.0,2:59,1.0,10.0,CHI 16,7.0,7.0,David Montgomery left tackle for 4 yards (tackle by Lorenzo Carter),-0.14,0.01,11.0,2022,156
1.0,2:22,2.0,6.0,CHI 20,7.0,7.0,Justin Fields scrambles left end for 9 yards (tackle by Lorenzo Carter),0.01,0.87,11.0,2022,156
1.0,1:43,1.0,10.0,CHI 29,7.0,7.0,Justin Fields pass complete short right to Darnell Mooney for 2 yards (tackle by Isaiah Oliver),0.87,0.6,11.0,2022,156
1.0,1:07,2.0,8.0,CHI 31,7.0,7.0,Justin Fields scrambles left end for 2 yards (tackle by Mykal Walker),0.6,0.17,11.0,2022,156
1.0,0:22,3.0,6.0,CHI 33,7.0,7.0,Justin Fields pass incomplete deep right intended for Darnell Mooney,0.17,-1.18,11.0,2022,156
