Unnamed: 0,DAL,MIN,week,year,game_id
First Downs,23,16,11.0,2022,162
Rush-Yds-TDs,40-151-2,17-73-0,11.0,2022,162
Cmp-Att-Yd-TD-INT,26-30-307-2-0,17-30-159-0-0,11.0,2022,162
Sacked-Yards,0-0,7-49,11.0,2022,162
Net Pass Yards,307,110,11.0,2022,162
Total Yards,458,183,11.0,2022,162
Fumbles-Lost,1-0,2-1,11.0,2022,162
Turnovers,0,1,11.0,2022,162
Penalties-Yards,6-39,7-59,11.0,2022,162
Third Down Conv.,12-17,1-11,11.0,2022,162
Fourth Down Conv.,0-0,0-0,11.0,2022,162
Time of Possession,37:24,22:36,11.0,2022,162
