Quarter,Time,Tm,Detail,DAL,MIN,week,year,game_id
1.0,10:22,Cowboys,Brett Maher 27 yard field goal,3,0,11.0,2022,162
,6:39,Vikings,Greg Joseph 25 yard field goal,3,3,11.0,2022,162
,1:26,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),10,3,11.0,2022,162
2.0,5:31,Cowboys,Brett Maher 53 yard field goal,13,3,11.0,2022,162
,1:43,Cowboys,Tony Pollard 30 yard pass from Dak Prescott (Brett Maher kick),20,3,11.0,2022,162
,0:00,Cowboys,Brett Maher 60 yard field goal,23,3,11.0,2022,162
3.0,12:32,Cowboys,Tony Pollard 68 yard pass from Dak Prescott (Brett Maher kick),30,3,11.0,2022,162
,8:15,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),37,3,11.0,2022,162
4.0,10:04,Cowboys,Brett Maher 50 yard field goal,40,3,11.0,2022,162
