Quarter,Time,Down,ToGo,Location,CAR,BAL,Detail,EPB,EPA,week,year,game_id
2.0,10:52,1.0,10.0,CAR 41,0.0,0.0,Lamar Jackson pass complete short left to Demarcus Robinson for 7 yards (tackle by C.J. Henderson),2.85,3.25,11.0,2022,157
2.0,10:15,2.0,3.0,CAR 34,0.0,0.0,Lamar Jackson right end for 5 yards (tackle by Sam Franklin),3.25,3.64,11.0,2022,157
2.0,9:30,1.0,10.0,CAR 29,0.0,0.0,Lamar Jackson pass short middle intended for Mark Andrews is intercepted by Bravvion Roy at CAR-32 and returned for 3 yards (tackle by Ronnie Stanley),3.64,-1.27,11.0,2022,157
2.0,9:19,1.0,10.0,CAR 35,0.0,0.0,Baker Mayfield pass complete short right to Ian Thomas for 8 yards (tackle by Marcus Peters),1.27,1.8,11.0,2022,157
2.0,8:44,2.0,2.0,CAR 43,0.0,0.0,Chuba Hubbard left guard for 2 yards (tackle by Calais Campbell and Broderick Washington),1.8,1.93,11.0,2022,157
2.0,7:59,1.0,10.0,CAR 45,0.0,0.0,Baker Mayfield pass complete short right to Laviska Shenault for 1 yard (tackle by Kyle Hamilton),1.93,1.52,11.0,2022,157
2.0,7:17,2.0,9.0,CAR 46,0.0,0.0,D'Onta Foreman right tackle for 2 yards (tackle by Patrick Queen),1.52,1.09,11.0,2022,157
2.0,6:36,3.0,7.0,CAR 48,0.0,0.0,Baker Mayfield scrambles up the middle for 8 yards (tackle by Patrick Queen and Marcus Peters),1.09,2.65,11.0,2022,157
2.0,5:52,1.0,10.0,BAL 44,0.0,0.0,D'Onta Foreman left guard for no gain (tackle by Kyle Hamilton),2.65,2.11,11.0,2022,157
2.0,5:08,2.0,10.0,BAL 44,0.0,0.0,"Baker Mayfield pass incomplete deep left intended for Tommy Tremble (defended by Marlon Humphrey). Penalty on Chuba Hubbard: Chop Block, 15 yards (accepted) (no play)",2.11,0.08,11.0,2022,157
2.0,5:01,2.0,25.0,CAR 41,0.0,0.0,Baker Mayfield pass complete short middle to Ian Thomas for 12 yards (tackle by Brent Urban),0.08,1.03,11.0,2022,157
2.0,4:09,3.0,13.0,BAL 47,0.0,0.0,", recovered by Baker Mayfield at 50 Baker Mayfield for no gain. Penalty on Bradley Bozeman: False Start, 5 yards (accepted) (no play)",1.03,0.37,11.0,2022,157
2.0,3:52,3.0,18.0,CAR 48,0.0,0.0,Baker Mayfield pass incomplete intended for D.J. Moore,0.37,-0.19,11.0,2022,157
2.0,3:49,4.0,18.0,CAR 48,0.0,0.0,Johnny Hekker punts 42 yards downed by Joel Iyiegbuniwe,-0.19,0.38,11.0,2022,157
