Quarter,Time,Down,ToGo,Location,CIN,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Bengals to receive the opening kickoff.",,,11.0,2022,161
1.0,15:00,,,PIT 35,0.0,0.0,"Matthew Wright kicks off 56 yards, returned by Trayveon Williams for 29 yards (tackle by James Pierre)",0.0,1.47,11.0,2022,161
1.0,14:56,1.0,10.0,CIN 38,0.0,0.0,Joe Mixon right guard for 4 yards (tackle by Devin Bush and Myles Jack),1.47,1.46,11.0,2022,161
1.0,14:20,2.0,6.0,CIN 42,0.0,0.0,"Penalty on Hayden Hurst: False Start, 5 yards (accepted) (no play)",1.46,0.79,11.0,2022,161
1.0,13:57,2.0,11.0,CIN 37,0.0,0.0,Joe Mixon right guard for 3 yards (tackle by Devin Bush and T.J. Watt),0.79,0.5,11.0,2022,161
1.0,13:15,3.0,8.0,CIN 40,0.0,0.0,Joe Burrow pass incomplete deep right intended for Hayden Hurst (defended by Minkah Fitzpatrick),0.5,-0.72,11.0,2022,161
1.0,13:09,4.0,8.0,CIN 40,0.0,0.0,"Drue Chrisman punts 65 yards, recovered by Steven Sims in end zone, returned by Steven Sims for 10 yards (tackle by Tre Flowers)",-0.72,0.38,11.0,2022,161
1.0,12:57,1.0,10.0,PIT 5,0.0,0.0,Kenny Pickett pass complete short right to Najee Harris for 1 yard (tackle by Trey Hendrickson),-0.38,-0.71,11.0,2022,161
1.0,12:24,2.0,9.0,PIT 6,0.0,0.0,Najee Harris left guard for 2 yards (tackle by Germaine Pratt),-0.71,-1.07,11.0,2022,161
1.0,11:48,3.0,7.0,PIT 8,0.0,0.0,Kenny Pickett pass complete short left to George Pickens for 4 yards (tackle by Cam Taylor-Britt),-1.07,-2.49,11.0,2022,161
1.0,11:15,4.0,3.0,PIT 12,0.0,0.0,"Pressley Harvin punts 56 yards, returned by Trent Taylor for 11 yards (tackle by Marcus Allen)",-2.49,-1.8,11.0,2022,161
1.0,11:03,1.0,10.0,CIN 43,0.0,0.0,Joe Burrow pass complete short left to Hayden Hurst for 21 yards (tackle by Arthur Maulet and Myles Jack),1.8,3.18,11.0,2022,161
1.0,10:25,1.0,10.0,PIT 36,0.0,0.0,Joe Mixon up the middle for 3 yards (tackle by T.J. Watt),3.18,3.04,11.0,2022,161
1.0,9:49,2.0,7.0,PIT 33,0.0,0.0,Joe Burrow pass incomplete short right intended for Tyler Boyd (defended by T.J. Watt),3.04,2.35,11.0,2022,161
1.0,9:43,,,,,,Timeout #1 by Cincinnati Bengals,,,11.0,2022,161
1.0,9:43,3.0,7.0,PIT 33,0.0,0.0,Samaje Perine left guard for 6 yards (tackle by Robert Spillane and Minkah Fitzpatrick),2.35,1.82,11.0,2022,161
1.0,8:59,4.0,1.0,PIT 27,3.0,0.0,Evan McPherson 45 yard field goal good,1.82,3.0,11.0,2022,161
1.0,8:54,,,CIN 35,3.0,0.0,"Evan McPherson kicks off 52 yards, returned by Steven Sims for 22 yards (tackle by Trayveon Williams)",0.0,1.27,11.0,2022,161
1.0,8:47,1.0,10.0,PIT 35,3.0,0.0,Najee Harris left tackle for 5 yards (tackle by Cam Taylor-Britt),1.27,1.4,11.0,2022,161
1.0,8:14,2.0,5.0,PIT 40,3.0,0.0,Kenny Pickett pass complete deep left to George Pickens for 22 yards (tackle by Cam Taylor-Britt),1.4,3.05,11.0,2022,161
1.0,7:30,1.0,10.0,CIN 38,3.0,0.0,Najee Harris up the middle for 3 yards (tackle by Logan Wilson),3.05,2.91,11.0,2022,161
1.0,6:53,2.0,7.0,CIN 35,3.0,0.0,Kenny Pickett pass complete short middle to Zach Gentry for -1 yards (tackle by Sam Hubbard),2.91,2.08,11.0,2022,161
1.0,6:15,3.0,8.0,CIN 36,3.0,0.0,Kenny Pickett pass complete short right to Jaylen Warren for 9 yards (tackle by Logan Wilson),2.08,3.78,11.0,2022,161
1.0,5:30,1.0,10.0,CIN 27,3.0,0.0,Najee Harris left tackle for 3 yards (tackle by Jay Tufele and B.J. Hill),3.78,3.64,11.0,2022,161
1.0,4:52,2.0,7.0,CIN 24,3.0,0.0,Kenny Pickett pass incomplete short right,3.64,2.94,11.0,2022,161
1.0,4:46,3.0,7.0,CIN 24,3.0,0.0,Kenny Pickett pass incomplete short left intended for Najee Harris (defended by Trey Hendrickson),2.94,1.87,11.0,2022,161
1.0,4:41,4.0,7.0,CIN 24,3.0,3.0,Matthew Wright 42 yard field goal good,1.87,3.0,11.0,2022,161
1.0,4:37,,,PIT 35,3.0,3.0,"Matthew Wright kicks off 64 yards, returned by Trayveon Williams for 20 yards (tackle by Arthur Maulet)",0.0,0.34,11.0,2022,161
1.0,4:30,1.0,10.0,CIN 21,3.0,3.0,Joe Mixon up the middle for -2 yards (tackle by Cameron Heyward),0.34,-0.53,11.0,2022,161
