Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Anthony Richardson,IND,12,24,109,5,20.8,388,16.2,62,5.2,2.6,47,3.9,1,4.2%,5,20.8%,0,5,1,2,3,12.0%,1,11.0,13.0,2024,189
Drake Maye,NWE,24,30,238,14,41.2,198,6.6,135,5.6,4.5,103,4.3,0,0.0%,4,13.3%,4,6,1,0,5,12.8%,5,11.8,13.0,2024,189
