Unnamed: 0,TAM,CAR,week,year,game_id
First Downs,27,19,13.0,2024,191
Rush-Yds-TDs,39-236-1,21-78-1,13.0,2024,191
Cmp-Att-Yd-TD-INT,22-34-240-1-2,26-46-298-1-0,13.0,2024,191
Sacked-Yards,4-31,1-9,13.0,2024,191
Net Pass Yards,209,289,13.0,2024,191
Total Yards,445,367,13.0,2024,191
Fumbles-Lost,2-0,1-1,13.0,2024,191
Turnovers,2,1,13.0,2024,191
Penalties-Yards,7-54,7-62,13.0,2024,191
Third Down Conv.,2-12,6-16,13.0,2024,191
Fourth Down Conv.,1-1,0-0,13.0,2024,191
Time of Possession,39:31,27:39,13.0,2024,191
