Quarter,Time,Down,ToGo,Location,SFO,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Bills to receive the opening kickoff.",,,13.0,2024,194
1.0,15:00,,,SFO 35,0.0,0.0,"Jake Moody kicks off 64 yards, returned by Ray Davis for 21 yards (tackle by Dee Winters)",0.0,0.41,13.0,2024,194
1.0,14:53,1.0,10.0,BUF 22,0.0,0.0,Josh Allen pass complete short left to Khalil Shakir for no gain (tackle by Maliek Collins),0.41,-0.13,13.0,2024,194
1.0,14:16,2.0,10.0,BUF 22,0.0,0.0,James Cook right guard for 2 yards (tackle by Nick McCloud and Fred Warner),-0.13,-0.56,13.0,2024,194
1.0,13:36,3.0,8.0,BUF 24,0.0,0.0,"Penalty on Dawson Knox: False Start, 5 yards (accepted) (no play)",-0.56,-1.29,13.0,2024,194
1.0,13:25,3.0,13.0,BUF 19,0.0,0.0,Josh Allen pass complete short left to Ty Johnson for 9 yards (tackle by Fred Warner),-1.29,-1.5,13.0,2024,194
1.0,12:31,4.0,4.0,BUF 28,0.0,0.0,"Sam Martin punts 48 yards, returned by Jacob Cowing for 13 yards (tackle by Dorian Williams)",-1.5,-1.4,13.0,2024,194
1.0,12:21,1.0,10.0,SFO 37,0.0,0.0,Brock Purdy pass complete short left to George Kittle for 7 yards (tackle by Rasul Douglas and Matt Milano),1.4,1.8,13.0,2024,194
1.0,11:44,2.0,3.0,SFO 44,0.0,0.0,Christian McCaffrey up the middle for 2 yards (tackle by Taylor Rapp),1.8,1.36,13.0,2024,194
1.0,11:06,3.0,1.0,SFO 46,0.0,0.0,Christian McCaffrey left guard for 6 yards (tackle by Damar Hamlin),1.36,2.39,13.0,2024,194
1.0,10:29,1.0,10.0,BUF 48,0.0,0.0,Christian McCaffrey up the middle for 19 yards (tackle by Terrel Bernard and Taron Johnson),2.39,3.64,13.0,2024,194
1.0,9:47,1.0,10.0,BUF 29,0.0,0.0,Jordan Mason up the middle for 11 yards (tackle by Damar Hamlin),3.64,4.37,13.0,2024,194
1.0,9:10,1.0,10.0,BUF 18,0.0,0.0,Christian McCaffrey up the middle for 1 yard (tackle by Taron Johnson),4.37,3.94,13.0,2024,194
1.0,8:34,2.0,9.0,BUF 17,0.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for 2 yards (tackle by Damar Hamlin),3.94,3.46,13.0,2024,194
1.0,7:50,3.0,7.0,BUF 15,0.0,0.0,Brock Purdy pass incomplete short right intended for Christian McCaffrey,3.46,2.44,13.0,2024,194
1.0,7:44,4.0,7.0,BUF 15,3.0,0.0,Jake Moody 33 yard field goal good,2.44,3.0,13.0,2024,194
1.0,7:41,,,SFO 35,3.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,194
1.0,7:41,1.0,10.0,BUF 30,3.0,0.0,Ray Davis right tackle for 1 yard (tackle by Ji'Ayir Brown and Sam Okuayinonu),0.94,0.53,13.0,2024,194
1.0,6:59,2.0,9.0,BUF 31,3.0,0.0,Josh Allen pass incomplete deep right intended for Khalil Shakir (defended by Renardo Green),0.53,-0.16,13.0,2024,194
1.0,6:50,3.0,9.0,BUF 31,3.0,0.0,"Josh Allen pass incomplete short middle intended for Khalil Shakir. Penalty on Charvarius Ward: Illegal Contact, 5 yards (accepted) (no play)",-0.16,1.33,13.0,2024,194
1.0,6:44,1.0,10.0,BUF 36,3.0,0.0,Ty Johnson up the middle for 8 yards (tackle by De'Vondre Campbell),1.33,1.87,13.0,2024,194
1.0,6:07,2.0,2.0,BUF 44,3.0,0.0,James Cook left guard for 1 yard (tackle by Kevin Givens),1.87,1.29,13.0,2024,194
1.0,5:40,3.0,1.0,BUF 45,3.0,0.0,Josh Allen left guard for 3 yards (tackle by Leonard Floyd and Yetur Gross-Matos),1.29,2.13,13.0,2024,194
1.0,5:04,1.0,10.0,BUF 48,3.0,0.0,Josh Allen pass complete short left to Quintin Morris for 14 yards (tackle by Fred Warner),2.13,3.05,13.0,2024,194
1.0,4:24,1.0,10.0,SFO 38,3.0,0.0,James Cook left guard for -4 yards (tackle by De'Vondre Campbell and Khalil Davis),3.05,1.97,13.0,2024,194
1.0,3:43,2.0,14.0,SFO 42,3.0,0.0,Josh Allen pass complete short middle to Khalil Shakir for 8 yards (tackle by Nick McCloud and De'Vondre Campbell),1.97,2.34,13.0,2024,194
1.0,3:00,3.0,6.0,SFO 34,3.0,0.0,Josh Allen left guard for 7 yards (tackle by De'Vondre Campbell),2.34,3.78,13.0,2024,194
1.0,2:13,1.0,10.0,SFO 27,3.0,0.0,James Cook right tackle for 5 yards (tackle by Kalia Davis and Malik Mustapha),3.78,3.91,13.0,2024,194
1.0,1:31,2.0,5.0,SFO 22,3.0,0.0,Ty Johnson left end for 4 yards (tackle by De'Vondre Campbell and Dee Winters),3.91,3.84,13.0,2024,194
1.0,0:55,3.0,1.0,SFO 18,3.0,0.0,Ray Davis up the middle for 13 yards (tackle by Isaac Yiadom),3.84,6.06,13.0,2024,194
1.0,0:08,1.0,5.0,SFO 5,3.0,6.0,"Ray Davis right end for 5 yards, touchdown",6.06,7.0,13.0,2024,194
1.0,0:03,,,SFO 15,3.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,13.0,2024,194
1.0,0:03,,,BUF 35,3.0,7.0,"Tyler Bass kicks off 68 yards, returned by Deebo Samuel for 28 yards (tackle by Ja'Marcus Ingram)",0.0,0.61,13.0,2024,194
2.0,15:00,1.0,10.0,SFO 25,3.0,7.0,Brock Purdy pass complete short left to Christian McCaffrey for 12 yards (tackle by Terrel Bernard),0.61,1.4,13.0,2024,194
2.0,14:22,1.0,10.0,SFO 37,3.0,7.0,Christian McCaffrey right guard for 12 yards (tackle by Damar Hamlin and Taylor Rapp),1.4,2.19,13.0,2024,194
2.0,13:38,1.0,10.0,SFO 49,3.0,7.0,Brock Purdy scrambles left end for 3 yards (tackle by Taron Johnson),2.19,2.05,13.0,2024,194
2.0,13:01,2.0,7.0,BUF 48,3.0,7.0,Christian McCaffrey left guard for 18 yards (tackle by Taylor Rapp),2.05,3.58,13.0,2024,194
2.0,12:18,1.0,10.0,BUF 30,3.0,7.0,Jordan Mason left guard for -4 yards (tackle by Rasul Douglas),3.58,2.49,13.0,2024,194
2.0,11:37,2.0,14.0,BUF 34,3.0,7.0,"Brock Purdy pass deep left is intercepted by Damar Hamlin at BUF-8 and returned for no gain (tackle by Jauan Jennings). Penalty on Damar Hamlin: Illegal Contact, 5 yards (accepted) (no play)",2.49,3.64,13.0,2024,194
2.0,11:23,1.0,10.0,BUF 29,3.0,7.0,Christian McCaffrey right end for -5 yards (tackle by Gregory Rousseau),3.64,2.42,13.0,2024,194
2.0,10:35,2.0,15.0,BUF 34,3.0,7.0,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",2.42,1.75,13.0,2024,194
