Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,13.0,2024,183
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 64 yards, returned by Samaje Perine for 26 yards (tackle by Dylan Laube)",0.0,0.74,13.0,2024,183
1.0,14:55,1.0,10.0,KAN 27,0.0,0.0,Kareem Hunt right tackle for -1 yards (tackle by Adam Butler),0.74,0.06,13.0,2024,183
1.0,14:22,2.0,11.0,KAN 26,0.0,0.0,Patrick Mahomes pass complete short left to Xavier Worthy for 14 yards (tackle by Decamerion Richardson),0.06,1.6,13.0,2024,183
1.0,13:57,1.0,10.0,KAN 40,0.0,0.0,Patrick Mahomes pass incomplete deep left intended for Justin Watson,1.6,1.05,13.0,2024,183
1.0,13:52,2.0,10.0,KAN 40,0.0,0.0,Kareem Hunt left tackle for 2 yards (tackle by Adam Butler and Jonah Laulu),1.05,0.63,13.0,2024,183
1.0,13:14,3.0,8.0,KAN 42,0.0,0.0,"Patrick Mahomes pass complete short middle to Travis Kelce for 14 yards (tackle by Tre'von Moehrig). Penalty on K'Lavon Chaisson: Defensive Offside, 5 yards (declined)",0.63,2.65,13.0,2024,183
1.0,12:53,1.0,10.0,LVR 44,0.0,0.0,Isiah Pacheco left guard for 4 yards (tackle by Zachary Carter),2.65,2.65,13.0,2024,183
1.0,12:17,2.0,6.0,LVR 40,0.0,0.0,Patrick Mahomes pass complete short middle to Kareem Hunt for 5 yards (tackle by Divine Deablo),2.65,2.61,13.0,2024,183
1.0,11:44,3.0,1.0,LVR 35,0.0,0.0,Isiah Pacheco right guard for 2 yards (tackle by Robert Spillane),2.61,3.38,13.0,2024,183
1.0,11:06,1.0,10.0,LVR 33,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce (defended by Thomas Harper),3.38,2.84,13.0,2024,183
1.0,10:57,2.0,10.0,LVR 33,0.0,0.0,"Patrick Mahomes pass incomplete deep right intended for DeAndre Hopkins (defended by Jack Jones). Penalty on Jack Jones: Defensive Pass Interference, 20 yards (accepted) (no play)",2.84,4.71,13.0,2024,183
1.0,10:57,1.0,10.0,LVR 13,0.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Isaiah Pola-Mao),4.71,5.15,13.0,2024,183
1.0,10:18,2.0,4.0,LVR 7,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Kareem Hunt,5.15,4.33,13.0,2024,183
1.0,10:13,3.0,4.0,LVR 7,0.0,0.0,Patrick Mahomes pass incomplete short right intended for DeAndre Hopkins (defended by Jack Jones),4.33,2.99,13.0,2024,183
1.0,10:09,4.0,4.0,LVR 7,0.0,3.0,Matthew Wright 25 yard field goal good,2.99,3.0,13.0,2024,183
1.0,10:06,,,KAN 35,0.0,3.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,183
1.0,10:06,1.0,10.0,LVR 30,0.0,3.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 4 yards (tackle by Chamarri Conner),0.94,0.93,13.0,2024,183
1.0,9:29,2.0,6.0,LVR 34,0.0,3.0,Ameer Abdullah up the middle for 6 yards (tackle by Chris Jones and Michael Danna),0.93,1.6,13.0,2024,183
1.0,8:47,1.0,10.0,LVR 40,0.0,3.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 4 yards (tackle by Drue Tranquill),1.6,1.59,13.0,2024,183
1.0,8:08,2.0,6.0,LVR 44,0.0,3.0,"Ameer Abdullah right guard for no gain (tackle by Chamarri Conner). Penalty on Jackson Powers-Johnson: Offensive Holding, 10 yards (accepted) (no play)",1.59,0.24,13.0,2024,183
1.0,7:36,2.0,16.0,LVR 34,0.0,3.0,Aidan O'Connell pass incomplete short right intended for Michael Mayer (defended by Drue Tranquill),0.24,-0.43,13.0,2024,183
1.0,7:30,3.0,16.0,LVR 34,0.0,3.0,Aidan O'Connell pass complete short left to Brock Bowers for 7 yards (tackle by Chamarri Conner and Nazeeh Johnson),-0.43,-0.65,13.0,2024,183
1.0,6:40,4.0,9.0,LVR 41,0.0,3.0,"AJ Cole punts out of bounds. Penalty on Amari Gainer: Offensive Holding, 10 yards (accepted) (no play)",-0.65,-1.31,13.0,2024,183
