Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Brock Purdy,SFO,11,18,94,4.0,20.0,92,5.1,31,2.8,1.7,63,5.7,2,11.8%,3,17.6%,2,1,0,0,2,9.1%,2,2.0,13.0,2024,194
Josh Allen,BUF,13,17,148,7.0,41.2,109,6.4,63,4.8,3.7,85,6.5,0,0.0%,2,11.8%,0,5,0,1,1,5.6%,1,8.0,13.0,2024,194
Mitchell Trubisky,BUF,1,1,4,,,2,2.0,2,2.0,2.0,2,2.0,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,,13.0,2024,194
