Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,13.0,2024,181
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,181
1.0,15:00,1.0,10.0,DAL 30,0.0,0.0,Rico Dowdle left tackle for 4 yards (tackle by Rakeem Nunez-Roches and Tyler Nubin),0.94,0.93,13.0,2024,181
1.0,14:27,2.0,6.0,DAL 34,0.0,0.0,Cooper Rush pass complete short right to Luke Schoonmaker for 1 yard (tackle by Andru Phillips),0.93,0.37,13.0,2024,181
1.0,13:55,3.0,5.0,DAL 35,0.0,0.0,"Rico Dowdle right tackle for no gain (tackle by Jason Pinnock and Dexter Lawrence). Penalty on Kayvon Thibodeaux: Defensive Offside, 5 yards (accepted) (no play)",0.37,1.6,13.0,2024,181
1.0,13:26,1.0,10.0,DAL 40,0.0,0.0,Cooper Rush pass complete short right to Luke Schoonmaker for 10 yards (tackle by Micah McFadden),1.6,2.26,13.0,2024,181
1.0,12:48,1.0,10.0,DAL 50,0.0,0.0,Cooper Rush pass incomplete short right intended for CeeDee Lamb (defended by Bobby Okereke),2.26,1.71,13.0,2024,181
1.0,12:41,2.0,10.0,DAL 50,0.0,0.0,Cooper Rush pass complete short right to Rico Dowdle for 6 yards (tackle by Darius Muasau and Tyler Nubin),1.71,1.82,13.0,2024,181
1.0,12:02,3.0,4.0,NYG 44,0.0,0.0,Cooper Rush pass complete short middle to CeeDee Lamb for 17 yards (tackle by Cordale Flott),1.82,3.78,13.0,2024,181
1.0,11:18,1.0,10.0,NYG 27,0.0,0.0,Cooper Rush pass complete short middle to KaVontae Turpin for 16 yards (tackle by Jason Pinnock),3.78,4.84,13.0,2024,181
1.0,10:42,1.0,10.0,NYG 11,0.0,0.0,Cooper Rush pass complete short right to KaVontae Turpin for 6 yards (tackle by Adoree' Jackson and Micah McFadden),4.84,5.28,13.0,2024,181
1.0,9:58,2.0,4.0,NYG 5,0.0,0.0,Cooper Rush pass incomplete short left intended for KaVontae Turpin,5.28,4.44,13.0,2024,181
1.0,9:50,3.0,4.0,NYG 5,0.0,0.0,Cooper Rush pass incomplete short middle intended for Brandin Cooks (defended by Cordale Flott),4.44,3.01,13.0,2024,181
1.0,9:46,4.0,4.0,NYG 5,0.0,3.0,Brandon Aubrey 23 yard field goal good,3.01,3.0,13.0,2024,181
1.0,9:43,,,DAL 35,0.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,181
1.0,9:43,1.0,10.0,NYG 30,0.0,3.0,Devin Singletary left guard for 4 yards (tackle by Eric Kendricks),0.94,0.93,13.0,2024,181
1.0,9:07,2.0,6.0,NYG 34,0.0,3.0,Devin Singletary right tackle for 7 yards (tackle by Mazi Smith and Eric Kendricks),0.93,1.66,13.0,2024,181
1.0,8:30,1.0,10.0,NYG 41,0.0,3.0,Drew Lock pass complete short right to Malik Nabers for 2 yards (tackle by Jourdan Lewis and DaRon Bland),1.66,1.39,13.0,2024,181
1.0,7:54,2.0,8.0,NYG 43,0.0,3.0,Tyrone Tracy up the middle for 7 yards (tackle by Eric Kendricks),1.39,1.62,13.0,2024,181
1.0,7:20,3.0,1.0,DAL 50,0.0,3.0,Drew Lock up the middle for no gain (tackle by Osa Odighizuwa and Josh Butler),1.62,-0.06,13.0,2024,181
1.0,6:50,4.0,1.0,DAL 50,0.0,3.0,Tyrone Tracy left tackle for 6 yards (tackle by Malik Hooker and DaRon Bland),-0.06,2.65,13.0,2024,181
1.0,6:08,1.0,10.0,DAL 44,0.0,3.0,Drew Lock pass complete short right to Malik Nabers for 9 yards (tackle by Malik Hooker),2.65,3.33,13.0,2024,181
1.0,5:23,2.0,1.0,DAL 35,0.0,3.0,Devin Singletary right tackle for no gain (tackle by Osa Odighizuwa),3.33,2.61,13.0,2024,181
1.0,4:49,3.0,1.0,DAL 35,0.0,3.0,Devin Singletary up the middle for 2 yards (tackle by Micah Parsons and DeMarvion Overshown),2.61,3.38,13.0,2024,181
1.0,4:00,1.0,10.0,DAL 33,0.0,3.0,Malik Nabers left end for 4 yards (tackle by DaRon Bland),3.38,3.38,13.0,2024,181
1.0,3:33,2.0,6.0,DAL 29,0.0,3.0,Drew Lock pass incomplete short left intended for Malik Nabers,3.38,2.68,13.0,2024,181
1.0,3:28,3.0,6.0,DAL 29,0.0,3.0,"Drew Lock scrambles up the middle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Drew Lock scrambles up the middle for 28 yards (tackle by Josh Butler)",2.68,6.97,13.0,2024,181
1.0,3:09,1.0,1.0,DAL 1,6.0,3.0,"Tyrone Tracy up the middle for 1 yard, touchdown",6.97,7.0,13.0,2024,181
1.0,3:06,,,DAL 15,7.0,3.0,Graham Gano kicks extra point good,0.0,0.0,13.0,2024,181
1.0,3:06,,,NYG 35,7.0,3.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,181
1.0,3:06,1.0,10.0,DAL 30,7.0,3.0,Rico Dowdle left guard for 3 yards (tackle by Dexter Lawrence and Rakeem Nunez-Roches),0.94,0.8,13.0,2024,181
1.0,2:33,2.0,7.0,DAL 33,7.0,3.0,Cooper Rush pass complete short middle to Luke Schoonmaker for 6 yards (tackle by Bobby Okereke and Micah McFadden),0.8,0.89,13.0,2024,181
1.0,1:57,3.0,1.0,DAL 39,7.0,3.0,Ezekiel Elliott up the middle for 4 yards (tackle by Brian Burns),0.89,1.8,13.0,2024,181
1.0,1:39,1.0,10.0,DAL 43,7.0,3.0,"Rico Dowdle left tackle for 4 yards (tackle by Rakeem Nunez-Roches). Penalty on Chuma Edoga: Offensive Facemask, 15 yards (accepted)",1.8,-0.23,13.0,2024,181
1.0,1:27,2.0,21.0,DAL 32,7.0,3.0,Rico Dowdle left tackle for 22 yards (tackle by Jason Pinnock and Cordale Flott),-0.23,2.52,13.0,2024,181
1.0,0:47,1.0,10.0,NYG 46,7.0,3.0,Rico Dowdle up the middle for 13 yards (tackle by Adoree' Jackson),2.52,3.38,13.0,2024,181
2.0,15:00,1.0,10.0,NYG 33,7.0,3.0,Rico Dowdle up the middle for 2 yards (tackle by Tyler Nubin and Bobby Okereke),3.38,3.11,13.0,2024,181
2.0,14:28,2.0,8.0,NYG 31,7.0,3.0,KaVontae Turpin left end for 2 yards (tackle by Andru Phillips),3.11,2.68,13.0,2024,181
2.0,13:48,3.0,6.0,NYG 29,7.0,3.0,Cooper Rush pass complete short middle to Luke Schoonmaker for 10 yards (tackle by Dane Belton and Tyler Nubin),2.68,4.31,13.0,2024,181
2.0,13:08,1.0,10.0,NYG 19,7.0,3.0,Rico Dowdle right tackle for -2 yards (tackle by Tyler Nubin and Adoree' Jackson),4.31,3.49,13.0,2024,181
2.0,12:27,2.0,12.0,NYG 21,7.0,3.0,Cooper Rush pass complete short left to Luke Schoonmaker for 6 yards (tackle by Andru Phillips),3.49,3.58,13.0,2024,181
2.0,11:57,3.0,6.0,NYG 15,7.0,3.0,Cooper Rush pass incomplete short right intended for CeeDee Lamb,3.58,2.47,13.0,2024,181
2.0,11:48,4.0,6.0,NYG 15,7.0,6.0,Brandon Aubrey 33 yard field goal good,2.47,3.0,13.0,2024,181
2.0,11:44,,,DAL 35,7.0,6.0,"Brandon Aubrey kicks off 65 yards, returned by Eric Gray for 36 yards. Eric Gray fumbles (forced by C.J. Goodwin), recovered by Matthew Adams at NYG-40",0.0,1.6,13.0,2024,181
2.0,11:37,1.0,10.0,NYG 40,7.0,12.0,"Drew Lock pass short left intended for Devin Singletary is intercepted by DeMarvion Overshown at NYG-23 and returned for 23 yards, touchdown",1.6,-7.0,13.0,2024,181
2.0,11:29,,,NYG 15,7.0,13.0,Brandon Aubrey kicks extra point good,0.0,0.0,13.0,2024,181
2.0,11:29,,,DAL 35,7.0,13.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,181
