Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Panthers to receive the opening kickoff.",,,13.0,2024,191
1,15:00,,,TAM 35,0.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,191
1,15:00,1.0,10.0,CAR 30,0.0,0.0,Bryce Young pass complete short left to Xavier Legette for 5 yards (tackle by Jamel Dean),0.94,1.07,13.0,2024,191
1,14:23,2.0,5.0,CAR 35,0.0,0.0,Bryce Young pass incomplete deep left intended for Feleipe Franks,1.07,0.37,13.0,2024,191
1,14:19,3.0,5.0,CAR 35,0.0,0.0,"Bryce Young pass incomplete deep left intended for Adam Thielen. Penalty on Tommy Tremble: Offensive Offside, 5 yards (declined)",0.37,-1.04,13.0,2024,191
1,14:15,4.0,5.0,CAR 35,0.0,0.0,Johnny Hekker punts 39 yards out of bounds,-1.04,-0.67,13.0,2024,191
1,14:06,1.0,10.0,TAM 26,0.0,0.0,Rachaad White right tackle for 6 yards (tackle by Josey Jewell and Jadeveon Clowney),0.67,0.94,13.0,2024,191
1,13:26,2.0,4.0,TAM 32,0.0,0.0,"Baker Mayfield aborted snap, recovered by Baker Mayfield at TB-32 and returned for -7 yards (tackle by Josey Jewell)",0.94,-0.69,13.0,2024,191
1,12:50,3.0,11.0,TAM 25,0.0,0.0,Baker Mayfield pass incomplete deep middle intended for Mike Evans (defended by Jaycee Horn),-0.69,-1.7,13.0,2024,191
1,12:46,4.0,11.0,TAM 25,0.0,0.0,Trenton Gill punts 54 yards downed by Evan Deckers,-1.7,-0.34,13.0,2024,191
1,12:33,1.0,10.0,CAR 21,0.0,0.0,Chuba Hubbard up the middle for 5 yards (tackle by Logan Hall),0.34,0.48,13.0,2024,191
1,12:01,2.0,5.0,CAR 26,0.0,0.0,Chuba Hubbard left end for 2 yards (tackle by YaYa Diaby),0.48,0.04,13.0,2024,191
1,11:34,3.0,3.0,CAR 28,0.0,0.0,Bryce Young scrambles left guard for 2 yards (tackle by Antoine Winfield),0.04,-1.37,13.0,2024,191
1,10:46,4.0,1.0,CAR 30,0.0,0.0,Johnny Hekker punts 33 yards downed by Claudin Cherelus,-1.37,-1.4,13.0,2024,191
1,10:35,1.0,10.0,TAM 37,0.0,0.0,Rachaad White right tackle for 11 yards (tackle by Chau Smith-Wade and Jordan Fuller),1.4,2.13,13.0,2024,191
1,9:54,1.0,10.0,TAM 48,0.0,0.0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Shy Tuttle),2.13,1.58,13.0,2024,191
1,9:51,2.0,10.0,TAM 48,0.0,0.0,Baker Mayfield pass complete short left to Sterling Shepard for 21 yards (tackle by D.J. Wonnum),1.58,3.51,13.0,2024,191
1,9:13,1.0,10.0,CAR 31,0.0,0.0,Bucky Irving right tackle for 11 yards (tackle by Jordan Fuller),3.51,4.24,13.0,2024,191
1,8:36,1.0,10.0,CAR 20,0.0,0.0,Bucky Irving up the middle for 4 yards (tackle by DJ Johnson),4.24,4.28,13.0,2024,191
