Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Justin Herbert,LAC,16,23,147,5.0,17.9,170,7.4,84,5.3,3.7,63,3.9,0,0.0%,1,4.3%,5,5,3,3,11,39.3%,0,,13.0,2024,184
JK Scott,LAC,1,1,3,,,-4,-4.0,-4,-4.0,-4.0,7,7.0,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,,13.0,2024,184
Kirk Cousins,ATL,24,39,245,13.0,32.5,308,7.9,93,3.9,2.4,152,6.3,0,0.0%,7,18.4%,1,5,4,3,8,20.0%,0,,13.0,2024,184
