Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Baker Mayfield,TAM,21,33,235,14.0,37.8,236,7.2,105,5.0,3.2,130,6.2,4,12.1%,2,6.1%,4,12,3,2,9,23.7%,1,10.0,13.0,2024,191
Kyle Trask,TAM,1,1,5,,,-3,-3.0,-3,-3.0,-3.0,8,8.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,13.0,2024,191
Bryce Young,CAR,26,46,298,14.0,29.8,434,9.4,186,7.2,4.0,112,4.3,4,9.8%,10,24.4%,1,23,3,10,14,28.0%,3,5.7,13.0,2024,191
