Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,,13.0,2024,184
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,184
1.0,15:00,1.0,10.0,ATL 30,0.0,0.0,Bijan Robinson right tackle for 15 yards (tackle by Tony Jefferson),0.94,1.93,13.0,2024,184
1.0,14:36,1.0,10.0,ATL 45,0.0,0.0,Bijan Robinson right end for no gain (tackle by Tony Jefferson),1.93,1.38,13.0,2024,184
1.0,14:13,2.0,10.0,ATL 45,0.0,0.0,Kirk Cousins pass complete short right to Drake London for 12 yards (tackle by Derwin James and Kristian Fulton),1.38,2.72,13.0,2024,184
1.0,13:38,1.0,10.0,LAC 43,0.0,0.0,Bijan Robinson right tackle for 5 yards (tackle by Derwin James and Daiyan Henley),2.72,2.85,13.0,2024,184
1.0,13:02,2.0,5.0,LAC 38,0.0,0.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 1 yard (tackle by Tony Jefferson),2.85,2.28,13.0,2024,184
1.0,12:23,3.0,4.0,LAC 37,0.0,0.0,Bijan Robinson left tackle for 4 yards (tackle by Troy Dye),2.28,3.38,13.0,2024,184
1.0,11:45,1.0,10.0,LAC 33,0.0,0.0,Kirk Cousins pass complete short right to Tyler Allgeier for 6 yards (tackle by Troy Dye and Derwin James),3.38,3.65,13.0,2024,184
1.0,11:08,2.0,4.0,LAC 27,0.0,0.0,Tyler Allgeier left tackle for 3 yards (tackle by Derwin James),3.65,3.34,13.0,2024,184
1.0,10:37,3.0,1.0,LAC 24,0.0,0.0,Kirk Cousins left guard for 3 yards (tackle by Daiyan Henley),3.34,4.17,13.0,2024,184
1.0,10:04,1.0,10.0,LAC 21,0.0,0.0,Bijan Robinson right end for no gain (tackle by Troy Dye),4.17,3.63,13.0,2024,184
1.0,9:25,2.0,10.0,LAC 21,0.0,0.0,Kirk Cousins pass complete short right to Bijan Robinson for 4 yards (tackle by Troy Dye),3.63,3.46,13.0,2024,184
1.0,8:47,3.0,6.0,LAC 17,0.0,0.0,Kirk Cousins pass incomplete short middle intended for Darnell Mooney,3.46,2.34,13.0,2024,184
1.0,8:37,4.0,6.0,LAC 17,0.0,0.0,Younghoe Koo 35 yard field goal no good,2.34,-0.61,13.0,2024,184
1.0,8:33,1.0,10.0,LAC 25,0.0,0.0,Gus Edwards left tackle for 2 yards (tackle by Eddie Goldman and Nathan Landman),0.61,0.33,13.0,2024,184
1.0,7:59,2.0,8.0,LAC 27,0.0,0.0,Justin Herbert pass complete short right to Ladd McConkey for 2 yards (tackle by Clark Phillips),0.33,-0.1,13.0,2024,184
1.0,7:27,3.0,6.0,LAC 29,0.0,0.0,"Penalty on Arnold Ebiketie: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.1,0.56,13.0,2024,184
1.0,7:06,3.0,1.0,LAC 34,0.0,0.0,"Hassan Haskins left guard for no gain. Hassan Haskins fumbles (forced by Lorenzo Carter), recovered by Clark Phillips at LAC-34 and returned for 5 yards (tackle by Justin Herbert) Penalty on LAC: Illegal Formation, 5 yards (declined)",0.56,-3.64,13.0,2024,184
1.0,7:00,1.0,10.0,LAC 29,0.0,0.0,Kirk Cousins pass complete short right to Bijan Robinson for 3 yards (tackle by Troy Dye and Tony Jefferson),3.64,3.51,13.0,2024,184
1.0,6:23,2.0,7.0,LAC 26,0.0,0.0,Kirk Cousins pass complete short middle to Drake London for 17 yards (tackle by Tony Jefferson),3.51,5.14,13.0,2024,184
