Unnamed: 0,HOU,JAX,week,year,game_id
First Downs,20,19,13.0,2024,190
Rush-Yds-TDs,25-108-1,25-97-0,13.0,2024,190
Cmp-Att-Yd-TD-INT,22-34-242-1-0,24-42-276-2-1,13.0,2024,190
Sacked-Yards,2-24,0-0,13.0,2024,190
Net Pass Yards,218,276,13.0,2024,190
Total Yards,326,373,13.0,2024,190
Fumbles-Lost,0-0,1-0,13.0,2024,190
Turnovers,0,1,13.0,2024,190
Penalties-Yards,3-15,4-30,13.0,2024,190
Third Down Conv.,5-13,5-15,13.0,2024,190
Fourth Down Conv.,1-1,2-2,13.0,2024,190
Time of Possession,32:17,27:43,13.0,2024,190
