Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Bengals to receive the opening kickoff.",,,13.0,2024,185
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 55 yards, returned by Jermaine Burton for 27 yards (tackle by Miles Killebrew)",0.0,1.4,13.0,2024,185
1.0,14:55,1.0,10.0,CIN 37,0.0,0.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,1.4,0.86,13.0,2024,185
1.0,14:48,2.0,10.0,CIN 37,0.0,0.0,Chase Brown right tackle for -1 yards (tackle by T.J. Watt and Nick Herbig),0.86,0.04,13.0,2024,185
1.0,14:06,3.0,11.0,CIN 36,0.0,0.0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",0.04,-0.62,13.0,2024,185
1.0,13:49,3.0,16.0,CIN 31,0.0,0.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 13 yards (tackle by Damontae Kazee),-0.62,-0.46,13.0,2024,185
1.0,13:04,4.0,3.0,CIN 44,0.0,0.0,"Ryan Rehkow punts 41 yards, fair catch by Calvin Austin at PIT-15",-0.46,0.22,13.0,2024,185
1.0,12:57,1.0,10.0,PIT 15,0.0,0.0,"Russell Wilson pass incomplete deep right intended for Calvin Austin. Penalty on Akeem Davis-Gaither: Defensive Pass Interference, 23 yards (accepted) (no play)",-0.22,1.47,13.0,2024,185
1.0,12:53,1.0,10.0,PIT 38,0.0,0.0,Russell Wilson pass complete short left to Najee Harris for 7 yards (tackle by Germaine Pratt and B.J. Hill),1.47,1.87,13.0,2024,185
1.0,12:04,2.0,3.0,PIT 45,0.0,0.0,Russell Wilson pass incomplete short left intended for Van Jefferson,1.87,1.16,13.0,2024,185
1.0,11:59,3.0,3.0,PIT 45,0.0,6.0,"Russell Wilson pass short right intended for George Pickens is intercepted by Cam Taylor-Britt at CIN-49 and returned for 51 yards, touchdown",1.16,-7.0,13.0,2024,185
1.0,11:49,,,PIT 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2024,185
1.0,11:49,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,185
1.0,11:49,1.0,10.0,PIT 30,0.0,7.0,Russell Wilson pass complete short right to Pat Freiermuth for 7 yards (tackle by Josh Newton),0.94,1.34,13.0,2024,185
1.0,11:07,2.0,3.0,PIT 37,0.0,7.0,Najee Harris left end for 1 yard (tackle by Geno Stone and Kris Jenkins),1.34,0.76,13.0,2024,185
1.0,10:23,3.0,2.0,PIT 38,0.0,7.0,Russell Wilson pass complete short middle to Najee Harris for 25 yards (tackle by Germaine Pratt),0.76,3.12,13.0,2024,185
1.0,9:45,1.0,10.0,CIN 37,0.0,7.0,Najee Harris right tackle for 7 yards (tackle by Myles Murphy and Akeem Davis-Gaither),3.12,3.52,13.0,2024,185
1.0,9:11,2.0,3.0,CIN 30,0.0,7.0,Russell Wilson pass complete short middle to Najee Harris for 5 yards (tackle by Akeem Davis-Gaither),3.52,3.91,13.0,2024,185
1.0,8:30,1.0,10.0,CIN 25,0.0,7.0,Russell Wilson pass complete short right to Najee Harris for 8 yards (tackle by Jordan Battle),3.91,4.55,13.0,2024,185
1.0,7:47,2.0,2.0,CIN 17,6.0,7.0,"Russell Wilson pass complete short left to George Pickens for 17 yards, touchdown",4.55,7.0,13.0,2024,185
1.0,7:41,,,CIN 15,7.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,13.0,2024,185
1.0,7:41,,,PIT 35,7.0,7.0,"Chris Boswell kicks off 60 yards, returned by Jermaine Burton for 20 yards (tackle by Miles Killebrew)",0.0,0.61,13.0,2024,185
1.0,7:38,1.0,10.0,CIN 25,7.0,7.0,Joe Burrow pass complete short right to Drew Sample for 2 yards (tackle by Joey Porter),0.61,0.33,13.0,2024,185
1.0,6:59,2.0,8.0,CIN 27,7.0,7.0,Joe Burrow pass complete short right to Mike Gesicki for 6 yards (tackle by Patrick Queen),0.33,0.43,13.0,2024,185
1.0,6:19,3.0,2.0,CIN 33,7.0,7.0,Joe Burrow pass complete short right to Tee Higgins for 13 yards (tackle by DeShon Elliott and Minkah Fitzpatrick),0.43,1.99,13.0,2024,185
1.0,5:51,1.0,10.0,CIN 46,7.0,7.0,Chase Brown right guard for 13 yards (tackle by DeShon Elliott and Cameron Sutton),1.99,2.85,13.0,2024,185
