Quarter,Time,Down,ToGo,Location,SEA,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,13.0,2024,187
1.0,15:00,,,NYJ 35,0.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,187
1.0,15:00,1.0,10.0,SEA 30,0.0,0.0,"Kenneth Walker left guard for 8 yards. Kenneth Walker fumbles (forced by Quincy Williams), recovered by Laken Tomlinson at SEA-37 and returned for 1 yard",0.94,1.47,13.0,2024,187
1.0,14:22,2.0,2.0,SEA 38,0.0,0.0,Kenneth Walker right guard for -2 yards (tackle by Quinnen Williams),1.47,0.5,13.0,2024,187
1.0,13:41,3.0,4.0,SEA 36,0.0,0.0,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Jamien Sherwood),0.5,1.66,13.0,2024,187
1.0,13:01,1.0,10.0,SEA 41,0.0,0.0,Geno Smith pass incomplete short right intended for Pharaoh Brown,1.66,1.12,13.0,2024,187
1.0,12:53,2.0,10.0,SEA 41,0.0,0.0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by D.J. Reed),1.12,0.43,13.0,2024,187
1.0,12:49,3.0,10.0,SEA 41,0.0,0.0,Geno Smith pass incomplete short right,0.43,-0.65,13.0,2024,187
1.0,12:42,4.0,10.0,SEA 41,0.0,0.0,"Michael Dickson punts 46 yards, fair catch by Xavier Gipson at NYJ-13",-0.65,0.32,13.0,2024,187
1.0,12:35,1.0,10.0,NYJ 13,0.0,0.0,Braelon Allen left tackle for 3 yards (tackle by Tyrice Knight and Byron Murphy),-0.32,-0.44,13.0,2024,187
1.0,12:02,2.0,7.0,NYJ 16,0.0,0.0,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson (defended by Riq Woolen),-0.44,-1.06,13.0,2024,187
1.0,11:56,3.0,7.0,NYJ 16,0.0,0.0,Aaron Rodgers pass incomplete deep right intended for Davante Adams,-1.06,-2.39,13.0,2024,187
1.0,11:50,4.0,7.0,NYJ 16,0.0,0.0,"Thomas Morstead punts 51 yards, returned by Dee Williams for 6 yards (tackle by Irvin Charles)",-2.39,-1.53,13.0,2024,187
1.0,11:42,1.0,10.0,SEA 39,0.0,0.0,Kenneth Walker left end for 1 yard (tackle by Micheal Clemons and D.J. Reed),1.53,1.12,13.0,2024,187
1.0,11:06,2.0,9.0,SEA 40,0.0,0.0,Geno Smith pass complete short right to AJ Barner for 2 yards (tackle by Ashtyn Davis),1.12,0.7,13.0,2024,187
1.0,10:21,3.0,7.0,SEA 42,0.0,0.0,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Chuck Clark),0.7,-0.19,13.0,2024,187
1.0,9:37,4.0,1.0,SEA 48,0.0,0.0,"Michael Dickson punts 52 yards, touchback.",-0.19,-0.28,13.0,2024,187
1.0,9:26,1.0,10.0,NYJ 20,0.0,0.0,Breece Hall right end for 6 yards (tackle by Tyrice Knight),0.28,0.54,13.0,2024,187
1.0,8:56,2.0,4.0,NYJ 26,0.0,0.0,Breece Hall left end for 2 yards (tackle by Ernest Jones and Boye Mafe),0.54,0.1,13.0,2024,187
1.0,8:19,3.0,2.0,NYJ 28,0.0,0.0,Aaron Rodgers pass complete deep right to Davante Adams for 24 yards (tackle by Josh Jobe),0.1,2.39,13.0,2024,187
1.0,7:36,1.0,10.0,SEA 48,0.0,0.0,Aaron Rodgers pass complete short left to Braelon Allen for 6 yards (tackle by Ernest Jones and Rayshawn Jenkins),2.39,2.66,13.0,2024,187
1.0,6:54,2.0,4.0,SEA 42,0.0,0.0,Aaron Rodgers pass complete short right to Braelon Allen for 10 yards (tackle by Leonard Williams and Ernest Jones),2.66,3.45,13.0,2024,187
1.0,6:14,1.0,10.0,SEA 32,0.0,0.0,Braelon Allen left tackle for 2 yards (tackle by Derick Hall),3.45,3.17,13.0,2024,187
1.0,5:37,2.0,8.0,SEA 30,0.0,0.0,"Aaron Rodgers pass incomplete short right intended for Jeremy Ruckert. Penalty on Alijah Vera-Tucker: Ineligible Downfield Pass, 5 yards (declined)",3.17,2.48,13.0,2024,187
1.0,5:29,3.0,8.0,SEA 30,0.0,0.0,"Penalty on Garrett Wilson: False Start, 5 yards (accepted) (no play)",2.48,1.82,13.0,2024,187
1.0,5:29,3.0,13.0,SEA 35,0.0,0.0,"Aaron Rodgers sacked by Leonard Williams for no gain. Penalty on Leonard Williams: Face Mask (15 Yards), 15 yards (accepted) (no play)",1.82,4.24,13.0,2024,187
1.0,5:02,1.0,10.0,SEA 20,0.0,0.0,Breece Hall left end for 4 yards (tackle by Byron Murphy),4.24,4.28,13.0,2024,187
1.0,4:18,2.0,6.0,SEA 16,0.0,0.0,Malachi Corley right end for 8 yards (tackle by Devon Witherspoon),4.28,5.37,13.0,2024,187
1.0,3:41,1.0,8.0,SEA 8,0.0,0.0,Aaron Rodgers pass incomplete short middle intended for Malachi Corley,5.37,4.57,13.0,2024,187
1.0,3:29,2.0,8.0,SEA 8,0.0,6.0,"Aaron Rodgers pass complete short left to Davante Adams for 8 yards, touchdown",4.57,7.0,13.0,2024,187
1.0,3:25,,,SEA 15,0.0,6.0,"Anders Carlson kicks extra point blocked blocked by Leonard Williams, recovered by Devon Witherspoon",0.0,-1.0,13.0,2024,187
