Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Gus Edwards,LAC,6,32,0,2.0,10,1.7,22,3.7,3,2.0,13.0,2024,184
Justin Herbert,LAC,5,1,0,2.0,-2,-0.4,3,0.6,0,,13.0,2024,184
Kimani Vidal,LAC,4,20,0,1.0,5,1.3,15,3.8,1,4.0,13.0,2024,184
Derius Davis,LAC,1,3,0,,1,1.0,2,2.0,0,,13.0,2024,184
Hassan Haskins,LAC,1,0,0,,0,0.0,0,0.0,0,,13.0,2024,184
Bijan Robinson,ATL,26,102,1,5.0,47,1.8,55,2.1,3,8.7,13.0,2024,184
Tyler Allgeier,ATL,8,16,0,1.0,11,1.4,5,0.6,0,,13.0,2024,184
Kirk Cousins,ATL,1,3,0,1.0,2,2.0,1,1.0,0,,13.0,2024,184
Drake London,ATL,1,-3,0,0.0,-3,-3.0,0,0.0,0,,13.0,2024,184
Ray-Ray McCloud,ATL,1,-2,0,0.0,-2,-2.0,0,0.0,0,,13.0,2024,184
