Unnamed: 0,TEN,WAS,week,year,game_id
First Downs,12,29,13.0,2024,188
Rush-Yds-TDs,11-35-0,45-267-3,13.0,2024,188
Cmp-Att-Yd-TD-INT,18-37-212-2-0,25-30-206-3-1,13.0,2024,188
Sacked-Yards,2-2,2-10,13.0,2024,188
Net Pass Yards,210,196,13.0,2024,188
Total Yards,245,463,13.0,2024,188
Fumbles-Lost,3-2,1-0,13.0,2024,188
Turnovers,2,1,13.0,2024,188
Penalties-Yards,12-93,7-65,13.0,2024,188
Third Down Conv.,5-12,9-14,13.0,2024,188
Fourth Down Conv.,0-1,1-1,13.0,2024,188
Time of Possession,19:47,40:13,13.0,2024,188
