Quarter,Time,Tm,Detail,SFO,BUF,week,year,game_id
1.0,7:41,49ers,Jake Moody 33 yard field goal,3,0,13.0,2024,194
,0:03,Bills,Ray Davis 5 yard rush (Tyler Bass kick),3,7,13.0,2024,194
2.0,8:38,Bills,James Cook 65 yard rush (Tyler Bass kick),3,14,13.0,2024,194
,0:41,Bills,Mack Hollins 7 yard pass from Josh Allen (Tyler Bass kick),3,21,13.0,2024,194
3.0,5:58,Bills,Josh Allen 7 yard pass from Josh Allen (Tyler Bass kick),3,28,13.0,2024,194
,2:54,49ers,Isaac Guerendo 15 yard rush (Jake Moody kick),10,28,13.0,2024,194
4.0,12:31,Bills,Josh Allen 8 yard rush (Tyler Bass kick),10,35,13.0,2024,194
