Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Eagles to receive the opening kickoff.",,,13.0,2024,193
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,193
1.0,15:00,1.0,10.0,PHI 30,0.0,0.0,Saquon Barkley left tackle for 12 yards (tackle by Roquan Smith and Tavius Robinson),0.94,1.73,13.0,2024,193
1.0,14:22,1.0,10.0,PHI 42,0.0,0.0,Jalen Hurts pass incomplete short middle intended for Parris Campbell (defended by Nnamdi Madubuike),1.73,1.19,13.0,2024,193
1.0,14:18,2.0,10.0,PHI 42,0.0,0.0,Will Shipley right end for 4 yards (tackle by Ar'Darius Washington and Marlon Humphrey),1.19,1.03,13.0,2024,193
1.0,13:35,3.0,6.0,PHI 46,0.0,0.0,Jalen Hurts pass incomplete short right intended for Britain Covey,1.03,-0.32,13.0,2024,193
1.0,13:30,4.0,6.0,PHI 46,0.0,0.0,"Braden Mann punts downed by Kelee Ringo. Penalty on Rick Lovato: Offensive Holding, 10 yards (accepted) (no play)",-0.32,-0.98,13.0,2024,193
1.0,13:18,4.0,16.0,PHI 36,0.0,0.0,"Braden Mann punts 46 yards, fair catch by Tylan Wallace at BAL-18. Penalty on Kelee Ringo: Fair Catch Interference, 15 yards (accepted)",-0.98,-1.14,13.0,2024,193
1.0,13:10,1.0,10.0,BAL 33,0.0,0.0,Derrick Henry left tackle for 5 yards (tackle by Josh Sweat),1.14,1.27,13.0,2024,193
1.0,12:41,2.0,5.0,BAL 38,0.0,0.0,Derrick Henry left tackle for no gain (tackle by Nolan Smith and Milton Williams),1.27,0.56,13.0,2024,193
1.0,11:55,3.0,5.0,BAL 38,0.0,0.0,"Lamar Jackson sacked by Josh Sweat for no gain. Penalty on Avonte Maddox: Defensive Holding, 5 yards (accepted) (no play)",0.56,1.8,13.0,2024,193
1.0,11:37,1.0,10.0,BAL 43,0.0,0.0,Lamar Jackson pass complete deep left to Zay Flowers for 40 yards (tackle by Isaiah Rodgers),1.8,4.44,13.0,2024,193
1.0,10:47,1.0,10.0,PHI 17,0.0,0.0,Derrick Henry left tackle for 4 yards (tackle by Nakobe Dean),4.44,4.5,13.0,2024,193
1.0,10:05,2.0,6.0,PHI 13,0.0,0.0,Zay Flowers right end for -3 yards (tackle by Jalen Carter),4.5,3.19,13.0,2024,193
1.0,9:29,3.0,9.0,PHI 16,0.0,0.0,Lamar Jackson pass incomplete short right intended for Mark Andrews,3.19,2.38,13.0,2024,193
1.0,9:25,4.0,9.0,PHI 16,0.0,3.0,Justin Tucker 34 yard field goal good,2.38,3.0,13.0,2024,193
1.0,9:21,,,BAL 35,0.0,3.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,193
1.0,9:21,1.0,10.0,PHI 30,0.0,3.0,Saquon Barkley right guard for 4 yards (tackle by Roquan Smith and Malik Harrison),0.94,0.93,13.0,2024,193
1.0,8:47,2.0,6.0,PHI 34,0.0,3.0,Jalen Hurts pass incomplete deep right,0.93,0.23,13.0,2024,193
1.0,8:40,3.0,6.0,PHI 34,0.0,3.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,0.23,-1.11,13.0,2024,193
1.0,8:35,4.0,6.0,PHI 34,0.0,3.0,"Braden Mann punts 48 yards, fair catch by Tylan Wallace at BAL-18",-1.11,-0.04,13.0,2024,193
1.0,8:27,1.0,10.0,BAL 18,0.0,3.0,Derrick Henry left tackle for 6 yards (tackle by Josh Sweat),0.04,0.41,13.0,2024,193
1.0,7:48,2.0,4.0,BAL 24,0.0,3.0,Lamar Jackson pass complete short left to Derrick Henry for 16 yards (tackle by Reed Blankenship),0.41,1.6,13.0,2024,193
1.0,7:11,1.0,10.0,BAL 40,0.0,3.0,Derrick Henry right end for 4 yards (tackle by Nakobe Dean and Zack Baun),1.6,1.59,13.0,2024,193
1.0,6:30,2.0,6.0,BAL 44,0.0,3.0,Lamar Jackson pass complete short middle to Zay Flowers for 20 yards (tackle by Reed Blankenship),1.59,3.18,13.0,2024,193
1.0,5:53,1.0,10.0,PHI 36,0.0,3.0,"Justice Hill right guard for 1 yard (tackle by Zack Baun). Penalty on Nolan Smith: Illegal Use of Hands / Defense, 5 yards (accepted)",3.18,3.58,13.0,2024,193
1.0,5:32,1.0,10.0,PHI 30,0.0,3.0,Lamar Jackson pass complete short left to Mark Andrews for 2 yards (tackle by Quinyon Mitchell),3.58,3.3,13.0,2024,193
1.0,4:49,2.0,8.0,PHI 28,0.0,3.0,Derrick Henry left end for 19 yards (tackle by Nakobe Dean),3.3,5.14,13.0,2024,193
1.0,4:14,1.0,9.0,PHI 9,0.0,3.0,"Penalty on Tyler Linderbaum: False Start, 5 yards (accepted) (no play)",5.14,4.44,13.0,2024,193
1.0,3:56,1.0,14.0,PHI 14,0.0,9.0,"Lamar Jackson pass complete short left to Mark Andrews for 14 yards, touchdown",4.44,7.0,13.0,2024,193
