Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Kyler Murray,ARI,0,0,0,0,0,13.0,2024,186
James Conner,ARI,4,3,13,0,7,13.0,2024,186
Trey Benson,ARI,0,0,0,0,0,13.0,2024,186
Emari Demercado,ARI,2,1,3,0,3,13.0,2024,186
Greg Dortch,ARI,3,2,1,0,3,13.0,2024,186
Trey McBride,ARI,12,12,96,0,14,13.0,2024,186
Marvin Harrison Jr.,ARI,12,5,60,1,16,13.0,2024,186
Michael Wilson,ARI,7,5,55,0,22,13.0,2024,186
Elijah Higgins,ARI,2,2,23,0,19,13.0,2024,186
Tip Reiman,ARI,1,1,9,0,9,13.0,2024,186
Sam Darnold,MIN,0,0,0,0,0,13.0,2024,186
Aaron Jones,MIN,4,3,6,1,5,13.0,2024,186
Cam Akers,MIN,0,0,0,0,0,13.0,2024,186
Ty Chandler,MIN,0,0,0,0,0,13.0,2024,186
Justin Jefferson,MIN,9,7,99,0,30,13.0,2024,186
Jordan Addison,MIN,6,4,54,0,26,13.0,2024,186
T.J. Hockenson,MIN,6,3,28,0,12,13.0,2024,186
Johnny Mundt,MIN,2,2,22,1,18,13.0,2024,186
Jalen Nailor,MIN,2,1,18,0,18,13.0,2024,186
Brandon Powell,MIN,1,1,8,0,8,13.0,2024,186
