Unnamed: 0,MIA,GNB,week,year,game_id
First Downs,21,19,13.0,2024,182
Rush-Yds-TDs,14-39-0,25-114-1,13.0,2024,182
Cmp-Att-Yd-TD-INT,37-46-365-2-0,21-28-274-2-0,13.0,2024,182
Sacked-Yards,5-29,0-0,13.0,2024,182
Net Pass Yards,336,274,13.0,2024,182
Total Yards,375,388,13.0,2024,182
Fumbles-Lost,2-1,0-0,13.0,2024,182
Turnovers,1,0,13.0,2024,182
Penalties-Yards,10-75,7-44,13.0,2024,182
Third Down Conv.,4-14,5-11,13.0,2024,182
Fourth Down Conv.,3-5,0-0,13.0,2024,182
Time of Possession,33:04,26:56,13.0,2024,182
