Quarter,Time,Tm,Detail,TEN,WAS,week,year,game_id
1.0,11:58,Commanders,Brian Robinson Jr. 40 yard rush (Zane Gonzalez kick),0,7,13.0,2024,188
,2:23,Commanders,Jayden Daniels 3 yard rush (Zane Gonzalez kick),0,14,13.0,2024,188
,0:24,Commanders,Terry McLaurin 16 yard pass from Jayden Daniels (Zane Gonzalez kick),0,21,13.0,2024,188
2.0,10:59,Commanders,Terry McLaurin 3 yard pass from Jayden Daniels (Zane Gonzalez kick),0,28,13.0,2024,188
,0:23,Titans,Nick Westbrook-Ikhine 27 yard pass from Will Levis (Nick Folk kick),7,28,13.0,2024,188
3.0,8:41,Titans,Nick Folk 41 yard field goal,10,28,13.0,2024,188
,3:40,Titans,Nick Folk 44 yard field goal,13,28,13.0,2024,188
4.0,14:15,Commanders,Zach Ertz 4 yard pass from Jayden Daniels (Zane Gonzalez kick),13,35,13.0,2024,188
,7:07,Titans,Nick Westbrook-Ikhine 17 yard pass from Will Levis (pass failed),19,35,13.0,2024,188
,3:31,Commanders,Chris Rodriguez 7 yard rush (Zane Gonzalez kick),19,42,13.0,2024,188
