Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Pat Freiermuth,PIT,7,6,68,1,2.0,43,7.2,25,4.2,6.6,0,,1,14.3,0,146.7,13.0,2024,185
Najee Harris,PIT,6,6,54,0,3.0,-15,-2.5,69,11.5,-2.5,3,2.0,0,0.0,0,104.2,13.0,2024,185
Jaylen Warren,PIT,4,4,55,0,3.0,3,0.8,52,13.0,0.8,1,4.0,0,0.0,0,118.7,13.0,2024,185
Cordarrelle Patterson,PIT,3,3,37,0,2.0,17,5.7,20,6.7,5.7,0,,0,0.0,0,118.1,13.0,2024,185
George Pickens,PIT,6,3,74,1,3.0,32,10.7,42,14.0,7.3,1,3.0,0,0.0,1,95.1,13.0,2024,185
Calvin Austin III,PIT,2,2,29,1,1.0,28,14.0,1,0.5,14.0,0,,0,0.0,0,158.3,13.0,2024,185
MyCole Pruitt,PIT,3,2,21,0,1.0,11,5.5,10,5.0,2.0,0,,0,0.0,0,86.8,13.0,2024,185
Darnell Washington,PIT,1,1,10,0,1.0,0,0.0,10,10.0,0.0,0,,0,0.0,0,108.3,13.0,2024,185
Van Jefferson,PIT,3,1,43,0,1.0,17,17.0,26,26.0,7.3,0,,0,0.0,0,81.9,13.0,2024,185
Ben Skowronek,PIT,1,1,23,0,1.0,14,14.0,9,9.0,14.0,0,,0,0.0,0,118.7,13.0,2024,185
Ja'Marr Chase,CIN,9,6,86,1,2.0,29,4.8,57,9.5,8.2,1,6.0,1,11.1,0,134.5,13.0,2024,185
Mike Gesicki,CIN,5,5,53,0,3.0,30,6.0,23,4.6,6.0,0,,0,0.0,0,110.8,13.0,2024,185
Tee Higgins,CIN,10,5,69,1,4.0,46,9.2,23,4.6,7.5,0,,2,20.0,1,66.2,13.0,2024,185
Tanner Hudson,CIN,4,4,28,0,2.0,6,1.5,22,5.5,1.5,0,,0,0.0,0,95.8,13.0,2024,185
Andrei Iosivas,CIN,4,3,35,1,3.0,35,11.7,0,0.0,9.3,0,,0,0.0,0,140.6,13.0,2024,185
Chase Brown,CIN,3,3,30,0,2.0,-5,-1.7,35,11.7,-1.7,0,,0,0.0,0,108.3,13.0,2024,185
Drew Sample,CIN,2,2,8,0,,3,1.5,5,2.5,1.5,0,,0,0.0,0,83.3,13.0,2024,185
