Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,,13.0,2024,180
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,180
1.0,15:00,1.0,10.0,DET 30,0.0,0.0,David Montgomery left tackle for 10 yards (tackle by Gervon Dexter and Jaylon Johnson),0.94,1.6,13.0,2024,180
1.0,14:28,1.0,10.0,DET 40,0.0,0.0,David Montgomery up the middle for 1 yard (tackle by Gervon Dexter and Montez Sweat),1.6,1.19,13.0,2024,180
1.0,13:47,2.0,9.0,DET 41,0.0,0.0,David Montgomery up the middle for 5 yards (tackle by Gervon Dexter and DeMarcus Walker),1.19,1.16,13.0,2024,180
1.0,13:08,3.0,4.0,DET 46,0.0,0.0,Jared Goff pass complete short right to Jameson Williams for 5 yards (tackle by Kyler Gordon),1.16,2.32,13.0,2024,180
1.0,12:31,1.0,10.0,CHI 49,0.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 14 yards,2.32,3.25,13.0,2024,180
1.0,12:02,1.0,10.0,CHI 35,0.0,0.0,Jared Goff pass complete short middle to Sam LaPorta for 2 yards (tackle by T.J. Edwards),3.25,2.97,13.0,2024,180
1.0,11:23,2.0,8.0,CHI 33,0.0,0.0,David Montgomery up the middle for 1 yard (tackle by Darrell Taylor),2.97,2.41,13.0,2024,180
1.0,10:44,3.0,7.0,CHI 32,0.0,0.0,Jared Goff pass complete short right to Jameson Williams for 8 yards (tackle by Tyrique Stevenson),2.41,3.97,13.0,2024,180
1.0,10:05,1.0,10.0,CHI 24,0.0,0.0,Penei Sewell sacked by and Austin Booker for -1 yards and Jack Sanborn for -1 yards,3.97,3.3,13.0,2024,180
1.0,9:14,2.0,11.0,CHI 25,0.0,0.0,David Montgomery right tackle for 9 yards (tackle by Tremaine Edmunds),3.3,3.95,13.0,2024,180
1.0,8:39,3.0,2.0,CHI 16,0.0,0.0,Jared Goff pass complete short left to David Montgomery for 3 yards (tackle by Jack Sanborn),3.95,4.71,13.0,2024,180
1.0,7:48,1.0,10.0,CHI 13,0.0,0.0,David Montgomery left end for 1 yard (tackle by Tremaine Edmunds),4.71,4.22,13.0,2024,180
1.0,7:19,2.0,9.0,CHI 12,0.0,0.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,4.22,3.28,13.0,2024,180
1.0,7:14,3.0,9.0,CHI 12,0.0,0.0,Jared Goff pass incomplete short middle intended for Tim Patrick,3.28,2.63,13.0,2024,180
1.0,7:10,4.0,9.0,CHI 12,0.0,3.0,Jake Bates 30 yard field goal good,2.63,3.0,13.0,2024,180
1.0,7:06,,,DET 35,0.0,3.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,180
1.0,7:06,1.0,10.0,CHI 30,0.0,3.0,Caleb Williams pass complete short middle to D'Andre Swift for 6 yards (tackle by Khalil Dorsey),0.94,1.2,13.0,2024,180
1.0,6:20,2.0,4.0,CHI 36,0.0,3.0,D'Andre Swift left tackle for -1 yards (tackle by Josh Paschal),1.2,0.37,13.0,2024,180
1.0,5:44,3.0,5.0,CHI 35,0.0,3.0,Caleb Williams pass incomplete deep right intended for D.J. Moore (defended by Kerby Joseph),0.37,-1.04,13.0,2024,180
1.0,5:35,4.0,5.0,CHI 35,0.0,3.0,Tory Taylor punts 55 yards. Maurice Alexander fumbles out of bounds,-1.04,0.38,13.0,2024,180
1.0,5:28,1.0,10.0,DET 10,0.0,3.0,"Jared Goff pass incomplete deep middle intended for Jameson Williams (defended by Jonathan Owens) CHI challenged the fumble ruling, and the play was upheld.",-0.38,-0.78,13.0,2024,180
1.0,5:23,2.0,10.0,DET 10,0.0,3.0,Jahmyr Gibbs left end for 8 yards (tackle by Tyrique Stevenson),-0.78,-0.48,13.0,2024,180
1.0,4:50,3.0,2.0,DET 18,0.0,3.0,Jared Goff pass complete deep left to Amon-Ra St. Brown for 29 yards (tackle by Tyrique Stevenson),-0.48,2.06,13.0,2024,180
1.0,4:15,1.0,10.0,DET 47,0.0,3.0,Jameson Williams left end for 3 yards (tackle by T.J. Edwards),2.06,1.92,13.0,2024,180
1.0,3:36,2.0,7.0,DET 50,0.0,3.0,Jahmyr Gibbs left tackle for 18 yards (tackle by Kevin Byard),1.92,3.45,13.0,2024,180
1.0,2:51,1.0,10.0,CHI 32,0.0,3.0,Jahmyr Gibbs right end for 2 yards (tackle by Chris Williams),3.45,3.17,13.0,2024,180
1.0,2:00,,,,,,Timeout #1 by Detroit Lions,,,13.0,2024,180
1.0,2:00,2.0,8.0,CHI 30,0.0,3.0,Jahmyr Gibbs up the middle for 13 yards (tackle by Tyrique Stevenson and Jonathan Owens),3.17,4.44,13.0,2024,180
1.0,1:23,1.0,10.0,CHI 17,0.0,3.0,David Montgomery up the middle for 3 yards (tackle by Jaylon Johnson),4.44,4.32,13.0,2024,180
1.0,0:46,2.0,7.0,CHI 14,0.0,3.0,Jahmyr Gibbs up the middle for 11 yards (tackle by Jonathan Owens and Kyler Gordon),4.32,6.51,13.0,2024,180
