Quarter,Time,Down,ToGo,Location,LAR,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Saints to receive the opening kickoff.",,,13.0,2024,192
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,192
1.0,15:00,1.0,10.0,NOR 30,0.0,0.0,Alvin Kamara right end for 12 yards (tackle by Omar Speights and Christian Rozeboom),0.94,1.73,13.0,2024,192
1.0,14:14,1.0,10.0,NOR 42,0.0,0.0,Derek Carr pass incomplete short right,1.73,1.19,13.0,2024,192
1.0,14:09,2.0,10.0,NOR 42,0.0,0.0,Alvin Kamara up the middle for 9 yards (tackle by Christian Rozeboom and Kamren Kinchens),1.19,1.69,13.0,2024,192
1.0,13:36,3.0,1.0,LAR 49,0.0,0.0,Alvin Kamara right end for no gain (tackle by Christian Rozeboom),1.69,0.0,13.0,2024,192
1.0,12:53,,,,,,Timeout #1 by New Orleans Saints,,,13.0,2024,192
1.0,12:53,4.0,1.0,LAR 49,0.0,0.0,Derek Carr pass complete short middle to Kevin Austin for 4 yards (tackle by Christian Rozeboom),0.0,2.59,13.0,2024,192
1.0,12:15,1.0,10.0,LAR 45,0.0,0.0,Alvin Kamara left end for 2 yards (tackle by Omar Speights and Jared Verse),2.59,2.31,13.0,2024,192
1.0,11:48,2.0,8.0,LAR 43,0.0,0.0,Derek Carr pass complete short middle to Foster Moreau for 4 yards (tackle by Omar Speights and Christian Rozeboom),2.31,2.15,13.0,2024,192
1.0,11:11,3.0,4.0,LAR 39,0.0,0.0,Derek Carr pass complete short middle to Taysom Hill for 5 yards (tackle by Quentin Lake),2.15,3.31,13.0,2024,192
1.0,10:28,1.0,10.0,LAR 34,0.0,0.0,Derek Carr pass complete short middle to Foster Moreau for 2 yards (tackle by Byron Young),3.31,3.04,13.0,2024,192
1.0,9:45,2.0,8.0,LAR 32,0.0,0.0,Derek Carr pass complete short right to Alvin Kamara for -4 yards (tackle by Cobie Durant),3.04,1.82,13.0,2024,192
1.0,8:57,3.0,12.0,LAR 36,0.0,0.0,"Derek Carr sacked by Kobie Turner for no gain. Derek Carr fumbles (forced by Kobie Turner), recovered by Braden Fiske at LA-42, touchdown Replay Assistant challenged the fumble ruling, and the original play was overturned. Derek Carr pass incomplete short left intended for Dante Pettis (defended by Kobie Turner)",1.82,0.88,13.0,2024,192
1.0,8:53,4.0,12.0,LAR 36,0.0,3.0,Blake Grupe 54 yard field goal good,0.88,3.0,13.0,2024,192
1.0,8:48,,,NOR 35,0.0,3.0,"Blake Grupe kicks off 63 yards, returned by Jordan Whittington for 34 yards (tackle by Blake Grupe). Penalty on Omar Speights: Defensive Holding, 10 yards (accepted)",0.0,0.67,13.0,2024,192
1.0,8:40,1.0,10.0,LAR 26,0.0,3.0,Matthew Stafford pass incomplete short right intended for Demarcus Robinson,0.67,0.13,13.0,2024,192
1.0,8:35,2.0,10.0,LAR 26,0.0,3.0,Matthew Stafford pass complete short left to Puka Nacua for 4 yards (tackle by Will Harris),0.13,-0.03,13.0,2024,192
1.0,7:56,3.0,6.0,LAR 30,0.0,3.0,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,-0.03,-1.37,13.0,2024,192
1.0,7:53,4.0,6.0,LAR 30,0.0,3.0,Ethan Evans punts 45 yards out of bounds,-1.37,-0.61,13.0,2024,192
1.0,7:46,1.0,10.0,NOR 25,0.0,3.0,Alvin Kamara right guard for 5 yards (tackle by Michael Hoecht),0.61,0.74,13.0,2024,192
1.0,7:09,2.0,5.0,NOR 30,0.0,3.0,Alvin Kamara right end for 10 yards (tackle by Quentin Lake),0.74,1.6,13.0,2024,192
1.0,6:32,1.0,10.0,NOR 40,0.0,3.0,Alvin Kamara left tackle for 4 yards (tackle by Bobby Brown),1.6,1.59,13.0,2024,192
1.0,5:53,2.0,6.0,NOR 44,0.0,3.0,Derek Carr pass complete short middle to Kevin Austin for 11 yards (tackle by Quentin Lake),1.59,2.59,13.0,2024,192
1.0,5:13,1.0,10.0,LAR 45,0.0,3.0,Alvin Kamara up the middle for 4 yards (tackle by Tyler Davis),2.59,2.58,13.0,2024,192
1.0,4:36,2.0,6.0,LAR 41,0.0,3.0,Taysom Hill up the middle for 1 yard (tackle by Jared Verse),2.58,2.01,13.0,2024,192
1.0,3:52,3.0,5.0,LAR 40,0.0,3.0,Derek Carr pass incomplete deep right intended for Juwan Johnson (defended by Quentin Lake),2.01,0.59,13.0,2024,192
1.0,3:46,4.0,5.0,LAR 40,0.0,3.0,"Taysom Hill pass incomplete short right intended for Kevin Austin. Penalty on Josh Wallace: Defensive Holding, 5 yards (accepted) (no play)",0.59,3.25,13.0,2024,192
1.0,3:41,1.0,10.0,LAR 35,0.0,3.0,Taysom Hill left guard for 2 yards (tackle by Jared Verse and Tyler Davis),3.25,2.97,13.0,2024,192
1.0,3:03,2.0,8.0,LAR 33,0.0,3.0,Derek Carr pass complete short left to Taysom Hill for 21 yards (tackle by Darious Williams),2.97,4.78,13.0,2024,192
1.0,2:19,,,,,,Timeout #2 by New Orleans Saints,,,13.0,2024,192
1.0,2:19,1.0,10.0,LAR 12,0.0,3.0,"Derek Carr pass complete short middle to Alvin Kamara for no gain, touchdown. Penalty on Taliese Fuaga: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.78,4.32,13.0,2024,192
1.0,2:11,1.0,15.0,LAR 17,0.0,3.0,Taysom Hill right tackle for 2 yards (tackle by Omar Speights and Bobby Brown),4.32,3.66,13.0,2024,192
1.0,1:32,2.0,13.0,LAR 15,0.0,3.0,"Derek Carr pass complete short right to Juwan Johnson for 5 yards (tackle by Christian Rozeboom). Penalty on Trevor Penning: Offensive Low Block, 15 yards (accepted)",3.66,2.47,13.0,2024,192
1.0,1:10,2.0,23.0,LAR 25,0.0,3.0,Derek Carr pass complete short right to Alvin Kamara for 1 yard (tackle by Braden Fiske and Omar Speights),2.47,1.95,13.0,2024,192
1.0,0:28,3.0,22.0,LAR 24,0.0,3.0,Alvin Kamara right guard for 6 yards (tackle by Kamren Kinchens),1.95,2.25,13.0,2024,192
2.0,15:00,4.0,16.0,LAR 18,0.0,3.0,Blake Grupe 36 yard field goal no good,2.25,-0.67,13.0,2024,192
2.0,14:57,1.0,10.0,LAR 26,0.0,3.0,Blake Corum right tackle for 9 yards (tackle by Will Harris and Alontae Taylor),0.67,1.35,13.0,2024,192
2.0,14:18,2.0,1.0,LAR 35,0.0,3.0,Blake Corum right tackle for 10 yards (tackle by Tyrann Mathieu),1.35,1.93,13.0,2024,192
2.0,13:39,1.0,10.0,LAR 45,0.0,3.0,Matthew Stafford pass incomplete short left,1.93,1.38,13.0,2024,192
2.0,13:32,2.0,10.0,LAR 45,0.0,3.0,Blake Corum up the middle for 2 yards (tackle by Pete Werner and Demario Davis),1.38,0.96,13.0,2024,192
2.0,12:59,3.0,8.0,LAR 47,0.0,3.0,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards (tackle by Ugo Amadi),0.96,0.2,13.0,2024,192
2.0,12:26,4.0,1.0,NOR 46,0.0,3.0,Matthew Stafford up the middle for 4 yards (tackle by Will Harris),0.2,2.79,13.0,2024,192
2.0,11:53,1.0,10.0,NOR 42,0.0,3.0,Blake Corum right end for 5 yards (tackle by Ugo Amadi),2.79,2.92,13.0,2024,192
2.0,11:11,2.0,5.0,NOR 37,0.0,3.0,Blake Corum left guard for 6 yards (tackle by Will Harris and John Ridgeway),2.92,3.51,13.0,2024,192
2.0,10:31,1.0,10.0,NOR 31,0.0,3.0,Matthew Stafford pass incomplete deep left intended for Puka Nacua,3.51,2.97,13.0,2024,192
2.0,10:27,2.0,10.0,NOR 31,0.0,3.0,Kyren Williams up the middle for 3 yards (tackle by Demario Davis),2.97,2.68,13.0,2024,192
2.0,9:57,3.0,7.0,NOR 28,0.0,3.0,Matthew Stafford pass complete short left to Cooper Kupp for 3 yards (tackle by Kool-Aid McKinstry),2.68,1.88,13.0,2024,192
2.0,9:15,4.0,4.0,NOR 25,0.0,3.0,Matthew Stafford pass incomplete deep right intended for Cooper Kupp,1.88,-0.61,13.0,2024,192
2.0,9:10,1.0,10.0,NOR 25,0.0,3.0,Alvin Kamara right tackle for 4 yards (tackle by Omar Speights),0.61,0.54,13.0,2024,192
2.0,8:30,2.0,7.0,NOR 29,0.0,3.0,Derek Carr scrambles right end for 3 yards (tackle by Michael Hoecht),0.54,0.23,13.0,2024,192
2.0,7:55,3.0,4.0,NOR 32,0.0,3.0,Derek Carr pass complete short middle to Jamaal Williams for 7 yards (tackle by Jaylen McCollough),0.23,1.53,13.0,2024,192
2.0,7:16,1.0,10.0,NOR 39,0.0,3.0,Taysom Hill left end for 3 yards (tackle by Byron Young and Desjuan Johnson),1.53,1.39,13.0,2024,192
2.0,6:35,2.0,7.0,NOR 42,0.0,3.0,Derek Carr pass incomplete short middle intended for Taysom Hill (defended by Christian Rozeboom),1.39,0.7,13.0,2024,192
2.0,6:29,3.0,7.0,NOR 42,0.0,3.0,Derek Carr pass incomplete short left intended for Alvin Kamara,0.7,-0.59,13.0,2024,192
2.0,6:24,4.0,7.0,NOR 42,0.0,3.0,"Matthew Hayball punts 46 yards, fair catch by Xavier Smith at LA-12",-0.59,0.35,13.0,2024,192
2.0,6:18,1.0,10.0,LAR 12,0.0,3.0,Kyren Williams up the middle for 11 yards (tackle by Pete Werner),-0.35,0.48,13.0,2024,192
2.0,5:44,1.0,10.0,LAR 23,0.0,3.0,Kyren Williams right tackle for 17 yards (tackle by Kool-Aid McKinstry),0.48,1.6,13.0,2024,192
2.0,4:58,1.0,10.0,LAR 40,0.0,3.0,Kyren Williams right end for 5 yards (tackle by Pete Werner),1.6,1.73,13.0,2024,192
2.0,4:20,2.0,5.0,LAR 45,0.0,3.0,Kyren Williams right tackle for 4 yards (tackle by Will Harris),1.73,1.55,13.0,2024,192
2.0,3:42,3.0,1.0,LAR 49,0.0,3.0,Kyren Williams right guard for 2 yards (tackle by Alontae Taylor and Payton Turner),1.55,2.32,13.0,2024,192
2.0,3:04,1.0,10.0,NOR 49,0.0,3.0,Matthew Stafford sacked by Nathan Shepherd for -8 yards,2.32,0.7,13.0,2024,192
2.0,2:20,2.0,18.0,LAR 43,0.0,3.0,Matthew Stafford pass complete short middle to Kyren Williams for 9 yards (tackle by Ugo Amadi),0.7,1.22,13.0,2024,192
2.0,2:00,3.0,9.0,NOR 48,0.0,3.0,Matthew Stafford pass incomplete short right intended for Puka Nacua,1.22,0.07,13.0,2024,192
2.0,1:57,4.0,9.0,NOR 48,0.0,3.0,"Ethan Evans punts 35 yards, fair catch by Dante Pettis at NO-13",0.07,0.32,13.0,2024,192
