Unnamed: 0,LAR,NOR,week,year,game_id
First Downs,22,19,13.0,2024,192
Rush-Yds-TDs,29-156-1,31-143-0,13.0,2024,192
Cmp-Att-Yd-TD-INT,14-24-183-2-0,24-37-184-1-0,13.0,2024,192
Sacked-Yards,2-17,0-0,13.0,2024,192
Net Pass Yards,166,184,13.0,2024,192
Total Yards,322,327,13.0,2024,192
Fumbles-Lost,0-0,0-0,13.0,2024,192
Turnovers,0,0,13.0,2024,192
Penalties-Yards,3-30,4-38,13.0,2024,192
Third Down Conv.,4-9,5-15,13.0,2024,192
Fourth Down Conv.,1-2,2-3,13.0,2024,192
Time of Possession,27:23,32:37,13.0,2024,192
