Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Tua Tagovailoa,MIA,0,0,0,0,0,13.0,2024,182
Raheem Mostert,MIA,3,2,15,0,14,13.0,2024,182
De'Von Achane,MIA,9,8,56,1,14,13.0,2024,182
Jonnu Smith,MIA,11,10,113,0,16,13.0,2024,182
Tyreek Hill,MIA,9,6,83,1,30,13.0,2024,182
Jaylen Waddle,MIA,4,4,53,0,16,13.0,2024,182
Alec Ingold,MIA,2,2,15,0,13,13.0,2024,182
Odell Beckham Jr.,MIA,2,1,9,0,9,13.0,2024,182
Durham Smythe,MIA,1,1,8,0,8,13.0,2024,182
Malik Washington,MIA,4,2,8,0,8,13.0,2024,182
Julian Hill,MIA,1,1,5,0,5,13.0,2024,182
Jordan Love,GNB,0,0,0,0,0,13.0,2024,182
Josh Jacobs,GNB,4,4,74,0,49,13.0,2024,182
Chris Brooks,GNB,2,2,1,0,5,13.0,2024,182
Jayden Reed,GNB,6,3,24,2,12,13.0,2024,182
Emanuel Wilson,GNB,0,0,0,0,0,13.0,2024,182
Tucker Kraft,GNB,7,6,78,0,17,13.0,2024,182
Christian Watson,GNB,4,2,67,0,46,13.0,2024,182
Dontayvion Wicks,GNB,5,4,30,0,10,13.0,2024,182
