Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Tua Tagovailoa,MIA,37,46,365,20,39.2,312,6.8,219,5.9,4.8,146,3.9,1,2.2%,5,10.9%,5,4,3,1,9,17.3%,1,9.0,13.0,2024,182
Jordan Love,GNB,21,28,274,11,39.3,201,7.2,100,4.8,3.6,174,8.3,2,7.1%,2,7.1%,0,11,2,3,5,17.9%,0,,13.0,2024,182
