Unnamed: 0,PHI,BAL,week,year,game_id
First Downs,17,24,13.0,2024,193
Rush-Yds-TDs,33-140-2,32-166-0,13.0,2024,193
Cmp-Att-Yd-TD-INT,11-19-118-1-0,23-36-237-2-0,13.0,2024,193
Sacked-Yards,2-6,3-31,13.0,2024,193
Net Pass Yards,112,206,13.0,2024,193
Total Yards,252,372,13.0,2024,193
Fumbles-Lost,2-0,3-0,13.0,2024,193
Turnovers,0,0,13.0,2024,193
Penalties-Yards,8-55,4-20,13.0,2024,193
Third Down Conv.,4-12,6-15,13.0,2024,193
Fourth Down Conv.,1-1,1-2,13.0,2024,193
Time of Possession,26:09,33:51,13.0,2024,193
