Unnamed: 0,ARI,MIN,week,year,game_id
First Downs,25,19,13.0,2024,186
Rush-Yds-TDs,31-154-0,15-68-0,13.0,2024,186
Cmp-Att-Yd-TD-INT,31-45-260-1-2,21-31-235-2-0,13.0,2024,186
Sacked-Yards,1-8,5-30,13.0,2024,186
Net Pass Yards,252,205,13.0,2024,186
Total Yards,406,273,13.0,2024,186
Fumbles-Lost,1-0,2-1,13.0,2024,186
Turnovers,2,1,13.0,2024,186
Penalties-Yards,10-96,3-56,13.0,2024,186
Third Down Conv.,5-13,1-8,13.0,2024,186
Fourth Down Conv.,0-1,1-1,13.0,2024,186
Time of Possession,35:49,24:11,13.0,2024,186
