Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Broncos to receive the opening kickoff.",,,13.0,2024,195
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,195
1.0,15:00,1.0,10.0,DEN 30,0.0,0.0,Bo Nix pass incomplete short right,0.94,0.39,13.0,2024,195
1.0,14:57,2.0,10.0,DEN 30,0.0,0.0,Bo Nix pass complete short left to Marvin Mims for 7 yards (tackle by Ronnie Hickman and Mohamoud Diabate),0.39,0.63,13.0,2024,195
1.0,14:23,3.0,3.0,DEN 37,0.0,0.0,Javonte Williams up the middle for no gain (tackle by Jordan Hicks and Myles Garrett),0.63,-0.91,13.0,2024,195
1.0,13:52,4.0,3.0,DEN 37,0.0,0.0,"Riley Dixon punts 61 yards, returned by Jaelon Darden for 8 yards (tackle by Devon Key)",-0.91,0.38,13.0,2024,195
1.0,13:41,1.0,10.0,CLE 10,0.0,0.0,Jameis Winston pass complete short middle to Jerry Jeudy for 44 yards (tackle by P.J. Locke),-0.38,2.52,13.0,2024,195
1.0,13:01,1.0,10.0,DEN 46,0.0,0.0,Nick Chubb right tackle for 1 yard (tackle by Justin Strnad and Cody Barton),2.52,2.11,13.0,2024,195
1.0,12:24,2.0,9.0,DEN 45,0.0,0.0,Nick Chubb up the middle for 10 yards (tackle by Levi Wallace and Brandon Jones),2.11,3.25,13.0,2024,195
1.0,11:45,1.0,10.0,DEN 35,0.0,0.0,Jerome Ford right end for 6 yards (tackle by Brandon Jones and Jordan Jackson),3.25,3.51,13.0,2024,195
1.0,11:07,2.0,4.0,DEN 29,0.0,0.0,Nick Chubb left tackle for no gain (tackle by Jonathon Cooper and Zach Allen),3.51,2.81,13.0,2024,195
1.0,10:25,3.0,4.0,DEN 29,0.0,0.0,Jameis Winston pass incomplete short right intended for David Njoku,2.81,1.56,13.0,2024,195
1.0,10:21,4.0,4.0,DEN 29,0.0,0.0,Dustin Hopkins 47 yard field goal no good,1.56,-1.4,13.0,2024,195
1.0,10:16,1.0,10.0,DEN 37,0.0,0.0,Jaleel McLaughlin right tackle for 12 yards (tackle by Jordan Hicks and Denzel Ward),1.4,2.19,13.0,2024,195
1.0,9:34,1.0,10.0,DEN 49,0.0,0.0,Marvin Mims left end for 4 yards (tackle by Mohamoud Diabate and Jordan Hicks),2.19,2.19,13.0,2024,195
1.0,9:08,2.0,6.0,CLE 47,0.0,0.0,Bo Nix pass incomplete short right intended for Courtland Sutton,2.19,1.49,13.0,2024,195
1.0,9:03,3.0,6.0,CLE 47,0.0,0.0,Bo Nix pass complete short right to Courtland Sutton for 17 yards (tackle by Martin Emerson),1.49,3.58,13.0,2024,195
1.0,8:26,1.0,10.0,CLE 30,0.0,0.0,Bo Nix pass complete short right to Lucas Krull for 5 yards (tackle by Jordan Hicks),3.58,3.71,13.0,2024,195
1.0,7:42,2.0,5.0,CLE 25,0.0,0.0,Bo Nix pass incomplete short right intended for Javonte Williams,3.71,3.01,13.0,2024,195
1.0,7:36,3.0,5.0,CLE 25,0.0,0.0,Bo Nix pass complete short right to Courtland Sutton for 7 yards (tackle by Rodney McLeod),3.01,4.37,13.0,2024,195
1.0,6:50,1.0,10.0,CLE 18,0.0,0.0,Jaleel McLaughlin right tackle for 1 yard (tackle by Martin Emerson and Devin Bush),4.37,3.94,13.0,2024,195
1.0,6:04,2.0,9.0,CLE 17,0.0,0.0,Bo Nix pass complete deep right to Devaughn Vele for 16 yards (tackle by Jordan Hicks),3.94,6.97,13.0,2024,195
1.0,5:34,1.0,1.0,CLE 1,0.0,0.0,Jaleel McLaughlin up the middle for no gain (tackle by Grant Delpit),6.97,5.91,13.0,2024,195
1.0,4:59,2.0,1.0,CLE 1,0.0,0.0,Javonte Williams right guard for -1 yards (tackle by Myles Garrett and Jowon Briggs),5.91,4.95,13.0,2024,195
1.0,4:16,3.0,2.0,CLE 2,0.0,6.0,"Javonte Williams right guard for 2 yards, touchdown",4.95,7.0,13.0,2024,195
1.0,4:13,,,CLE 15,0.0,7.0,Wil Lutz kicks extra point good,0.0,0.0,13.0,2024,195
1.0,4:13,,,DEN 35,0.0,7.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,195
1.0,4:13,1.0,10.0,CLE 30,0.0,7.0,Jameis Winston pass complete short right to David Njoku for 11 yards (tackle by Cody Barton),0.94,1.66,13.0,2024,195
1.0,3:32,1.0,10.0,CLE 41,0.0,7.0,Kadarius Toney right end for 3 yards (tackle by Justin Strnad and D.J. Jones),1.66,1.53,13.0,2024,195
1.0,2:48,2.0,7.0,CLE 44,0.0,7.0,Jerome Ford left tackle for 4 yards (tackle by Jonathon Cooper),1.53,1.36,13.0,2024,195
1.0,2:03,3.0,3.0,CLE 48,0.0,7.0,Jameis Winston pass complete deep left to Elijah Moore for 44 yards (tackle by Levi Wallace),1.36,5.37,13.0,2024,195
1.0,1:12,1.0,8.0,DEN 8,6.0,7.0,"Jameis Winston pass complete short middle to David Njoku for 8 yards, touchdown",5.37,7.0,13.0,2024,195
1.0,1:09,,,DEN 15,7.0,7.0,Dustin Hopkins kicks extra point good,0.0,0.0,13.0,2024,195
1.0,1:09,,,CLE 35,7.0,7.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,195
1.0,1:09,1.0,10.0,DEN 30,7.0,7.0,Bo Nix pass incomplete short left,0.94,0.39,13.0,2024,195
1.0,1:05,2.0,10.0,DEN 30,7.0,7.0,Bo Nix pass incomplete short middle intended for Adam Trautman (defended by Mohamoud Diabate),0.39,-0.3,13.0,2024,195
1.0,1:02,3.0,10.0,DEN 30,7.0,7.0,Bo Nix pass incomplete deep middle intended for Troy Franklin,-0.3,-1.37,13.0,2024,195
1.0,0:55,4.0,10.0,DEN 30,7.0,7.0,"Riley Dixon punts 58 yards, fair catch by Jaelon Darden at CLE-12",-1.37,0.35,13.0,2024,195
1.0,0:48,1.0,10.0,CLE 12,7.0,7.0,Nick Chubb right tackle for no gain (tackle by Dondrea Tillman),-0.35,-0.78,13.0,2024,195
1.0,0:04,2.0,10.0,CLE 12,7.0,7.0,Jameis Winston pass complete short right to Elijah Moore for 11 yards (tackle by Ja'Quan McMillian),-0.78,0.48,13.0,2024,195
2.0,15:00,1.0,10.0,CLE 23,7.0,7.0,Jameis Winston pass incomplete short right,0.48,-0.07,13.0,2024,195
2.0,14:54,2.0,10.0,CLE 23,7.0,7.0,Nick Chubb up the middle for no gain (tackle by Zach Allen and Malcolm Roach),-0.07,-0.76,13.0,2024,195
2.0,14:14,3.0,10.0,CLE 23,7.0,7.0,Jameis Winston pass incomplete deep right intended for Elijah Moore (defended by Ja'Quan McMillian),-0.76,-1.83,13.0,2024,195
2.0,14:09,4.0,10.0,CLE 23,7.0,7.0,Corey Bojorquez punts 39 yards out of bounds,-1.83,-1.47,13.0,2024,195
2.0,14:02,1.0,10.0,DEN 38,7.0,7.0,Jaleel McLaughlin right tackle for -1 yards (tackle by Devin Bush),1.47,0.79,13.0,2024,195
2.0,13:26,2.0,11.0,DEN 37,7.0,7.0,"Bo Nix pass incomplete deep left intended for Devaughn Vele. Penalty on Martin Emerson: Defensive Pass Interference, 17 yards (accepted) (no play)",0.79,2.52,13.0,2024,195
2.0,13:21,1.0,10.0,CLE 46,7.0,7.0,Audric Estime left guard for 6 yards (tackle by Myles Garrett),2.52,2.79,13.0,2024,195
2.0,12:40,2.0,4.0,CLE 40,7.0,7.0,Bo Nix pass short left (defended by Denzel Ward) intended for Troy Franklin is intercepted by Greg Newsome at CLE-33 and returned for -2 yards (tackle by Devaughn Vele),2.79,-1.0,13.0,2024,195
2.0,12:32,1.0,10.0,CLE 31,7.0,7.0,Nick Chubb up the middle for no gain (tackle by D.J. Jones and John Franklin-Myers),1.0,0.46,13.0,2024,195
2.0,11:58,2.0,10.0,CLE 31,7.0,7.0,Jameis Winston pass incomplete short middle intended for David Njoku,0.46,-0.23,13.0,2024,195
2.0,11:55,3.0,10.0,CLE 31,7.0,7.0,Jameis Winston pass complete short left to Michael Woods for 16 yards (tackle by P.J. Locke and Levi Wallace),-0.23,2.06,13.0,2024,195
2.0,11:09,1.0,10.0,CLE 47,7.0,7.0,Jameis Winston pass incomplete short right intended for Blake Whiteheart (defended by Justin Strnad),2.06,1.52,13.0,2024,195
2.0,11:04,2.0,10.0,CLE 47,7.0,7.0,Jerome Ford right tackle for 21 yards (tackle by P.J. Locke),1.52,3.45,13.0,2024,195
2.0,10:25,1.0,10.0,DEN 32,7.0,7.0,Jameis Winston sacked by Jonah Elliss for no gain,3.45,2.9,13.0,2024,195
2.0,9:42,2.0,10.0,DEN 32,7.0,7.0,Jerome Ford left tackle for 5 yards (tackle by Jonah Elliss and Malcolm Roach),2.9,2.87,13.0,2024,195
2.0,8:59,3.0,5.0,DEN 27,7.0,7.0,Jameis Winston pass incomplete short left intended for Jerry Jeudy,2.87,1.72,13.0,2024,195
2.0,8:52,4.0,5.0,DEN 27,10.0,7.0,Dustin Hopkins 45 yard field goal good,1.72,3.0,13.0,2024,195
2.0,8:49,,,CLE 35,10.0,7.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,195
2.0,8:49,1.0,10.0,DEN 30,10.0,7.0,Bo Nix pass incomplete short right,0.94,0.39,13.0,2024,195
2.0,8:43,2.0,10.0,DEN 30,10.0,7.0,"Bo Nix pass complete short right to Jaleel McLaughlin for no gain (tackle by Grant Delpit). Penalty on Garett Bolles: Illegal Formation, 5 yards (declined)",0.39,-0.3,13.0,2024,195
