Unnamed: 0,NYG,DAL,week,year,game_id
First Downs,17,21,13.0,2024,181
Rush-Yds-TDs,21-116-2,32-122-1,13.0,2024,181
Cmp-Att-Yd-TD-INT,21-32-178-0-1,21-36-195-1-0,13.0,2024,181
Sacked-Yards,6-47,0-0,13.0,2024,181
Net Pass Yards,131,195,13.0,2024,181
Total Yards,247,317,13.0,2024,181
Fumbles-Lost,2-1,2-0,13.0,2024,181
Turnovers,2,0,13.0,2024,181
Penalties-Yards,13-98,6-48,13.0,2024,181
Third Down Conv.,3-12,7-15,13.0,2024,181
Fourth Down Conv.,1-1,0-1,13.0,2024,181
Time of Possession,28:24,31:36,13.0,2024,181
