Unnamed: 0,PIT,CIN,week,year,game_id
First Downs,28,25,13.0,2024,185
Rush-Yds-TDs,26-110-1,15-93-1,13.0,2024,185
Cmp-Att-Yd-TD-INT,29-38-414-3-1,28-38-309-3-1,13.0,2024,185
Sacked-Yards,2-4,4-27,13.0,2024,185
Net Pass Yards,410,282,13.0,2024,185
Total Yards,520,375,13.0,2024,185
Fumbles-Lost,1-0,2-2,13.0,2024,185
Turnovers,1,3,13.0,2024,185
Penalties-Yards,9-103,11-101,13.0,2024,185
Third Down Conv.,4-9,4-8,13.0,2024,185
Fourth Down Conv.,0-0,0-0,13.0,2024,185
Time of Possession,31:09,28:51,13.0,2024,185
