Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,13.0,2024,186
1.0,15:00,,,MIN 35,0.0,0.0,"John Parker Romo kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
1.0,15:00,1.0,10.0,ARI 30,0.0,0.0,Kyler Murray pass complete short left to Tip Reiman for 9 yards (tackle by Josh Metellus),0.94,1.61,13.0,2024,186
1.0,14:27,2.0,1.0,ARI 39,0.0,0.0,Kyler Murray pass complete short right to Trey McBride for 9 yards (tackle by Harrison Smith),1.61,2.13,13.0,2024,186
1.0,13:51,1.0,10.0,ARI 48,0.0,0.0,James Conner left tackle for 6 yards (tackle by Byron Murphy and Jonathan Greenard),2.13,2.39,13.0,2024,186
1.0,13:15,2.0,4.0,MIN 46,0.0,0.0,James Conner right guard for 6 yards (tackle by Josh Metellus and Camryn Bynum),2.39,2.92,13.0,2024,186
1.0,12:45,1.0,10.0,MIN 40,0.0,0.0,Kyler Murray pass complete short middle to Elijah Higgins for 4 yards (tackle by Blake Cashman),2.92,2.91,13.0,2024,186
1.0,12:08,2.0,6.0,MIN 36,0.0,0.0,Kyler Murray pass complete short right to Trey McBride for 5 yards (tackle by Harrison Smith),2.91,2.87,13.0,2024,186
1.0,11:31,3.0,1.0,MIN 31,0.0,0.0,Trey Benson left tackle for 10 yards (tackle by Camryn Bynum),2.87,4.17,13.0,2024,186
1.0,10:47,1.0,10.0,MIN 21,0.0,0.0,James Conner left tackle for 1 yard (tackle by Patrick Jones),4.17,3.76,13.0,2024,186
1.0,10:06,2.0,9.0,MIN 20,0.0,0.0,James Conner up the middle for 3 yards (tackle by Jonathan Greenard and Blake Cashman),3.76,3.46,13.0,2024,186
1.0,9:44,3.0,6.0,MIN 17,0.0,0.0,Kyler Murray pass complete short middle to James Conner for 4 yards (tackle by Blake Cashman),3.46,2.69,13.0,2024,186
1.0,9:05,4.0,2.0,MIN 13,3.0,0.0,Chad Ryland 32 yard field goal good,2.69,3.0,13.0,2024,186
1.0,9:02,,,ARI 35,3.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,13.0,2024,186
1.0,9:02,1.0,10.0,MIN 30,3.0,0.0,"Aaron Jones left guard for 2 yards. Aaron Jones fumbles (tackle by Dante Stills), recovered by Brian O'Neill at MIN-36",0.94,1.2,13.0,2024,186
1.0,8:34,2.0,4.0,MIN 36,3.0,0.0,Sam Darnold pass complete short middle to T.J. Hockenson for 5 yards (tackle by Budda Baker and Mack Wilson),1.2,1.66,13.0,2024,186
1.0,8:04,1.0,10.0,MIN 41,3.0,0.0,Sam Darnold pass complete short left to Johnny Mundt for 18 yards (tackle by Budda Baker),1.66,2.85,13.0,2024,186
1.0,7:29,1.0,10.0,ARI 41,3.0,0.0,Sam Darnold scrambles up the middle for 8 yards (tackle by Mack Wilson),2.85,3.39,13.0,2024,186
1.0,6:48,2.0,2.0,ARI 33,3.0,0.0,Aaron Jones right end for 6 yards (tackle by Jalen Thompson),3.39,3.78,13.0,2024,186
1.0,6:10,1.0,10.0,ARI 27,3.0,0.0,Sam Darnold pass incomplete deep right intended for Jordan Addison,3.78,3.23,13.0,2024,186
