Unnamed: 0,SFO,BUF,week,year,game_id
First Downs,15,20,13.0,2024,194
Rush-Yds-TDs,27-153-1,38-220-3,13.0,2024,194
Cmp-Att-Yd-TD-INT,11-18-94-0-0,14-18-152-2-0,13.0,2024,194
Sacked-Yards,2-8,0-0,13.0,2024,194
Net Pass Yards,86,152,13.0,2024,194
Total Yards,239,372,13.0,2024,194
Fumbles-Lost,3-3,0-0,13.0,2024,194
Turnovers,3,0,13.0,2024,194
Penalties-Yards,2-10,5-35,13.0,2024,194
Third Down Conv.,3-10,6-12,13.0,2024,194
Fourth Down Conv.,1-1,1-1,13.0,2024,194
Time of Possession,26:33,33:27,13.0,2024,194
