Quarter,Time,Down,ToGo,Location,TEN,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Titans to receive the opening kickoff.",,,13.0,2024,188
1.0,15:00,,,WAS 35,0.0,0.0,"Zane Gonzalez kicks off 61 yards, returned by Julius Chestnut for 24 yards (tackle by Jeremy Reaves)",0.0,0.81,13.0,2024,188
1.0,14:55,1.0,10.0,TEN 28,0.0,0.0,"Penalty on JC Latham: False Start, 5 yards (accepted) (no play)",0.81,0.48,13.0,2024,188
1.0,14:55,1.0,15.0,TEN 23,0.0,0.0,Tony Pollard up the middle for 1 yard (tackle by Daron Payne),0.48,-0.28,13.0,2024,188
1.0,14:18,2.0,14.0,TEN 24,0.0,0.0,"Penalty on Nicholas Petit-Frere: False Start, 5 yards (accepted) (no play)",-0.28,-1.01,13.0,2024,188
1.0,14:07,2.0,19.0,TEN 19,0.0,0.0,Will Levis pass complete short left to Tony Pollard for -3 yards (tackle by Daron Payne),-1.01,-2.42,13.0,2024,188
1.0,13:27,3.0,22.0,TEN 16,0.0,0.0,Will Levis pass incomplete short middle intended for Calvin Ridley,-2.42,-2.39,13.0,2024,188
1.0,13:19,4.0,22.0,TEN 16,0.0,0.0,"Ryan Stonehouse punts 50 yards, returned by Olamide Zaccheaus for 7 yards (tackle by Otis Reese)",-2.39,-1.66,13.0,2024,188
1.0,13:08,1.0,10.0,WAS 41,0.0,0.0,Jayden Daniels pass complete short right to Terry McLaurin for 10 yards (tackle by Darrell Baker and Roger McCreary),1.66,2.32,13.0,2024,188
1.0,12:37,1.0,10.0,TEN 49,0.0,0.0,Jayden Daniels pass complete short right to Noah Brown for 9 yards (tackle by Kenneth Murray),2.32,3.0,13.0,2024,188
1.0,12:05,2.0,1.0,TEN 40,0.0,6.0,"Brian Robinson right tackle for 40 yards, touchdown",3.0,7.0,13.0,2024,188
1.0,11:58,,,TEN 15,0.0,7.0,Zane Gonzalez kicks extra point good,0.0,0.0,13.0,2024,188
1.0,11:58,,,WAS 35,0.0,7.0,"Zane Gonzalez kicks off 61 yards, returned by Julius Chestnut for 26 yards (tackle by Jeremy Reaves)",0.0,0.94,13.0,2024,188
1.0,11:51,1.0,10.0,TEN 30,0.0,7.0,Tony Pollard right end for 6 yards (tackle by Bobby Wagner),0.94,1.2,13.0,2024,188
1.0,11:16,2.0,4.0,TEN 36,0.0,7.0,Tony Pollard right end for 5 yards (tackle by Jeremy Chinn and Bobby Wagner),1.2,1.66,13.0,2024,188
1.0,10:39,1.0,10.0,TEN 41,0.0,7.0,Will Levis pass incomplete short right intended for Nick Westbrook-Ikhine,1.66,1.12,13.0,2024,188
1.0,10:35,2.0,10.0,TEN 41,0.0,7.0,Will Levis pass complete short middle to Nick Vannett for 6 yards (tackle by Noah Igbinoghene and Mike Sainristil),1.12,1.22,13.0,2024,188
1.0,9:54,3.0,4.0,TEN 47,0.0,7.0,Will Levis pass complete short middle to JC Latham for no gain (tackle by Frankie Luvu),1.22,-0.26,13.0,2024,188
1.0,9:09,4.0,4.0,TEN 47,0.0,7.0,"Ryan Stonehouse punts 53 yards, touchback.",-0.26,-0.28,13.0,2024,188
1.0,9:00,1.0,10.0,WAS 20,0.0,7.0,Brian Robinson up the middle for 4 yards (tackle by Amani Hooker),0.28,0.27,13.0,2024,188
1.0,8:31,2.0,6.0,WAS 24,0.0,7.0,Jayden Daniels scrambles up the middle for 5 yards (tackle by Harold Landry),0.27,0.23,13.0,2024,188
1.0,7:48,3.0,1.0,WAS 29,0.0,7.0,Jayden Daniels pass complete short middle to Terry McLaurin for 9 yards (tackle by Roger McCreary),0.23,1.47,13.0,2024,188
1.0,7:16,1.0,10.0,WAS 38,0.0,7.0,Jayden Daniels pass complete short middle to Zach Ertz for 6 yards (tackle by Jeffery Simmons),1.47,1.73,13.0,2024,188
1.0,6:37,2.0,4.0,WAS 44,0.0,7.0,"Jayden Daniels right guard for no gain (tackle by T'Vondre Sweat and Amani Hooker). Penalty on Jerome Baker: Illegal Use of Hands / Defense (offset) . Penalty on Tyler Biadasz: Offensive Holding, 10 yards (offset) (no play)",1.73,1.73,13.0,2024,188
1.0,6:14,2.0,4.0,WAS 44,0.0,7.0,Brian Robinson left tackle for 3 yards (tackle by Kenneth Murray),1.73,1.42,13.0,2024,188
1.0,5:40,3.0,1.0,WAS 47,0.0,7.0,Brian Robinson right guard for 16 yards (tackle by Daryl Worley and Jarvis Brownlee),1.42,3.12,13.0,2024,188
1.0,5:01,1.0,10.0,TEN 37,0.0,7.0,Jayden Daniels scrambles up the middle for 5 yards (tackle by Kenneth Murray),3.12,3.25,13.0,2024,188
1.0,4:18,2.0,5.0,TEN 32,0.0,7.0,Jayden Daniels pass complete short middle to Terry McLaurin for 11 yards (tackle by Daryl Worley and Kenneth Murray),3.25,4.17,13.0,2024,188
