Unnamed: 0,LAC,ATL,week,year,game_id
First Downs,10,24,13.0,2024,184
Rush-Yds-TDs,17-56-0,37-116-1,13.0,2024,184
Cmp-Att-Yd-TD-INT,17-24-150-0-0,24-39-245-0-4,13.0,2024,184
Sacked-Yards,5-19,1-11,13.0,2024,184
Net Pass Yards,131,234,13.0,2024,184
Total Yards,187,350,13.0,2024,184
Fumbles-Lost,2-1,1-0,13.0,2024,184
Turnovers,1,4,13.0,2024,184
Penalties-Yards,7-33,2-10,13.0,2024,184
Third Down Conv.,3-11,3-14,13.0,2024,184
Fourth Down Conv.,0-1,2-4,13.0,2024,184
Time of Possession,24:05,35:55,13.0,2024,184
